so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,60,0.003,0.3,39,2,2,1,2024-04-23 11:00,1,0.008,2,0.042
1,61,0.003,0.3,40,2,2,1,2024-04-23 10:00,1,0.010,2,0.040
1,61,0.004,0.3,37,2,2,1,2024-04-23 09:00,1,0.012,2,0.036
1,64,0.004,0.4,35,2,2,1,2024-04-23 08:00,1,0.012,2,0.042
1,65,0.003,0.4,37,2,2,1,2024-04-23 07:00,1,0.010,2,0.048
1,70,0.004,0.4,41,2,2,1,2024-04-23 06:00,1,0.008,2,0.054
1,71,0.003,0.4,38,2,2,1,2024-04-23 05:00,1,0.009,2,0.055
1,68,0.003,0.4,31,2,2,1,2024-04-23 04:00,1,0.011,2,0.052
1,72,0.003,0.4,39,2,2,1,2024-04-23 03:00,1,0.005,2,0.056
1,69,0.004,0.4,42,2,2,1,2024-04-23 02:00,1,0.007,2,0.053
1,72,0.003,0.3,38,2,2,1,2024-04-23 01:00,1,0.004,2,0.056
1,67,0.004,0.4,40,2,2,1,2024-04-22 24:00,1,0.010,2,0.050
1,68,0.002,0.3,39,2,2,1,2024-04-22 23:00,1,0.009,2,0.051
1,65,0.003,0.4,36,2,2,1,2024-04-22 22:00,1,0.010,2,0.048
1,63,0.003,0.4,36,2,2,1,2024-04-22 21:00,1,0.009,2,0.046
1,65,0.004,0.4,40,2,2,1,2024-04-22 20:00,1,0.008,2,0.045
1,66,0.006,0.4,42,2,2,1,2024-04-22 19:00,1,0.009,2,0.044
1,67,0.003,0.4,50,2,2,1,2024-04-22 18:00,1,0.008,2,0.044
1,65,0.002,0.3,43,2,2,1,2024-04-22 17:00,1,0.009,2,0.041
1,64,0.003,0.3,49,2,2,1,2024-04-22 16:00,1,0.011,2,0.037
1,63,0.003,0.4,50,2,2,1,2024-04-22 15:00,1,0.011,2,0.037
1,62,0.003,0.3,44,2,2,1,2024-04-22 14:00,1,0.011,2,0.037
1,64,0.003,0.4,42,2,2,1,2024-04-22 13:00,1,0.011,2,0.035
