so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,70,0.003,0.3,24,2,2,1,2024-04-23 11:00,1,0.004,2,0.054,,,,,
1,68,0.003,0.3,21,2,2,1,2024-04-23 10:00,1,0.005,2,0.052,,,,,
1,60,0.003,0.3,29,2,2,1,2024-04-23 09:00,1,0.009,2,0.042,,,,,
1,55,0.003,0.3,50,1,2,1,2024-04-23 08:00,1,0.025,2,0.013,,,,,
1,52,0.003,0.3,38,1,2,1,2024-04-23 07:00,1,0.026,2,0.009,,,,,
1,51,0.003,0.3,31,1,2,1,2024-04-23 06:00,1,0.023,1,0.013,,,,,
1,50,0.003,0.3,33,1,1,1,2024-04-23 05:00,1,0.015,1,0.015,,,,,
1,51,0.003,0.3,25,1,2,1,2024-04-23 04:00,1,0.014,1,0.017,,,,,
1,54,0.003,0.3,27,1,2,1,2024-04-23 03:00,1,0.013,2,0.023,,,,,
1,56,0.003,0.3,30,1,2,1,2024-04-23 02:00,1,0.010,2,0.029,,,,,
1,54,0.004,0.3,31,2,2,1,2024-04-23 01:00,1,0.010,2,0.034,,,,,
1,55,0.004,0.3,30,2,2,1,2024-04-22 24:00,1,0.011,2,0.036,,,,,
1,59,0.004,0.3,34,2,2,1,2024-04-22 23:00,1,0.009,2,0.041,,,,,
1,64,0.004,0.3,32,2,2,1,2024-04-22 22:00,1,0.006,2,0.047,,,,,
1,65,0.004,0.3,30,2,2,1,2024-04-22 21:00,1,0.005,2,0.048,,,,,
1,62,0.004,0.3,39,2,2,1,2024-04-22 20:00,1,0.010,2,0.044,,,,,
1,-,0.004,0.3,39,2,,1,2024-04-22 19:00,1,0.008,,0.054,,,,,
1,-,0.004,0.3,27,2,,1,2024-04-22 18:00,1,0.006,,0.059,,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,57,0.004,0.3,33,1,2,1,2024-04-22 15:00,1,0.007,2,0.029,,,,,
1,58,0.004,0.3,35,1,2,1,2024-04-22 14:00,1,0.007,2,0.029,,,,,
1,58,0.004,0.3,35,2,2,1,2024-04-22 13:00,1,0.006,2,0.033,,,,,
