so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.4,37,2,2,1,2024-04-23 11:00,1,0.008,1,0.058
1,68,0.002,0.4,35,2,2,1,2024-04-23 10:00,1,0.010,1,0.052
1,52,0.002,0.4,27,2,2,1,2024-04-23 09:00,1,0.012,1,0.032
1,47,0.002,0.4,26,1,1,1,2024-04-23 08:00,1,0.007,1,0.013
1,43,0.002,0.3,20,1,1,1,2024-04-23 07:00,1,0.006,1,0.008
1,47,0.002,0.3,18,1,1,1,2024-04-23 06:00,1,0.006,1,0.008
1,47,0.002,0.4,23,1,1,1,2024-04-23 05:00,1,0.006,1,0.009
1,50,0.002,0.4,24,1,1,1,2024-04-23 04:00,1,0.006,1,0.011
1,51,0.002,0.4,23,1,2,1,2024-04-23 03:00,1,0.006,1,0.011
1,50,0.002,0.4,25,1,1,1,2024-04-23 02:00,1,0.007,1,0.012
1,52,0.002,0.4,26,1,2,1,2024-04-23 01:00,1,0.007,2,0.013
1,54,0.002,0.4,31,1,2,1,2024-04-22 24:00,1,0.008,2,0.015
1,54,0.002,0.4,27,1,2,1,2024-04-22 23:00,1,0.009,2,0.016
1,55,0.002,0.4,40,1,2,1,2024-04-22 22:00,1,0.011,2,0.023
1,53,0.002,0.4,41,1,2,1,2024-04-22 21:00,1,0.012,2,0.023
1,51,0.002,0.4,28,1,2,1,2024-04-22 20:00,1,0.008,2,0.026
1,57,0.002,0.4,35,2,2,1,2024-04-22 19:00,1,0.010,2,0.038
1,59,0.002,0.4,32,2,2,1,2024-04-22 18:00,1,0.008,2,0.041
1,59,0.002,0.3,30,2,2,1,2024-04-22 17:00,1,0.008,2,0.041
1,57,0.002,0.3,31,2,2,1,2024-04-22 16:00,1,0.009,2,0.038
1,58,0.002,0.4,35,2,2,1,2024-04-22 15:00,1,0.009,2,0.039
1,58,0.002,0.3,38,2,2,1,2024-04-22 14:00,1,0.008,2,0.040
1,60,0.002,0.4,34,2,2,1,2024-04-22 13:00,1,0.008,1,0.042
