coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade,pm10Flag
통신장애,-,-,-,37,통신장애,통신장애,통신장애,2024-04-23 11:00,-,2,-,,,,,,
,78,0.002,0.4,44,,,,2024-04-23 10:00,0.007,2,0.063,1,2,2,1,1,
,59,0.002,0.4,44,,,,2024-04-23 09:00,0.012,2,0.034,1,2,2,1,1,
,59,0.002,0.4,52,,,,2024-04-23 08:00,0.013,2,0.013,1,1,2,1,1,
,61,0.002,0.4,24,,,,2024-04-23 07:00,0.014,1,0.009,1,1,2,1,1,
,61,0.002,0.4,28,,,,2024-04-23 06:00,0.006,1,0.018,1,1,2,1,1,
,59,0.001,0.4,31,,,,2024-04-23 05:00,0.007,1,0.018,1,1,2,1,1,
,59,0.002,0.4,28,,,,2024-04-23 04:00,0.007,2,0.020,1,1,2,1,1,
,59,0.001,0.4,37,,,,2024-04-23 03:00,0.007,2,0.025,1,1,2,1,1,
,56,0.001,0.4,26,,,,2024-04-23 02:00,0.007,1,0.032,1,2,2,1,1,
,58,0.001,0.4,32,,,,2024-04-23 01:00,0.008,1,0.039,1,2,2,1,1,
,72,0.002,0.4,-,,,,2024-04-22 24:00,0.007,1,0.056,1,2,2,1,1,통신장애
,78,0.002,0.4,22,,,,2024-04-22 23:00,0.007,2,0.063,1,2,2,1,1,
,78,0.002,0.3,26,,,,2024-04-22 22:00,0.006,2,0.064,1,2,2,1,1,
,81,0.001,0.3,29,,,,2024-04-22 21:00,0.006,2,0.067,1,2,2,1,1,
,83,0.001,0.4,34,,,,2024-04-22 20:00,0.006,2,0.069,1,2,2,1,1,
,79,0.001,0.4,36,,,,2024-04-22 19:00,0.008,2,0.065,1,2,2,1,1,
,81,0.001,0.4,33,,,,2024-04-22 18:00,0.007,2,0.067,1,2,2,1,1,
,83,0.001,0.4,36,,,,2024-04-22 17:00,0.007,2,0.070,1,2,2,1,1,
,84,0.001,0.4,35,,,,2024-04-22 16:00,0.007,2,0.071,1,2,2,1,1,
,83,0.001,0.4,38,,,,2024-04-22 15:00,0.007,2,0.070,1,2,2,1,1,
,84,0.002,0.4,35,,,,2024-04-22 14:00,0.006,2,0.071,1,2,2,1,1,
,83,0.002,0.4,44,,,,2024-04-22 13:00,0.006,2,0.070,1,2,2,1,1,
