so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,68,0.002,0.3,25,2,2,1,2024-04-23 11:00,1,0.006,1,0.052,
1,64,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.006,1,0.047,
1,54,0.002,0.3,21,2,2,1,2024-04-23 09:00,1,0.007,1,0.035,
1,40,0.002,0.3,20,1,1,1,2024-04-23 08:00,1,0.007,1,0.019,
1,40,0.001,0.3,21,1,1,1,2024-04-23 07:00,1,0.008,1,0.011,
1,43,0.001,0.3,16,1,1,1,2024-04-23 06:00,1,0.006,1,0.013,
1,43,0.001,0.2,18,1,1,1,2024-04-23 05:00,1,0.006,1,0.016,
1,43,0.001,0.2,17,1,1,1,2024-04-23 04:00,1,0.005,1,0.020,
1,43,0.002,0.2,19,1,1,1,2024-04-23 03:00,1,0.005,1,0.022,
1,43,0.002,0.2,21,1,1,1,2024-04-23 02:00,1,0.007,1,0.023,
1,43,0.002,0.2,23,1,1,1,2024-04-23 01:00,1,0.007,1,0.026,
1,51,0.002,0.2,18,2,2,1,2024-04-22 24:00,1,0.006,1,0.031,
1,59,0.002,0.2,24,2,2,1,2024-04-22 23:00,1,0.005,1,0.041,
1,59,0.002,0.2,27,2,2,1,2024-04-22 22:00,1,0.005,1,0.041,
1,62,0.002,0.3,25,2,2,1,2024-04-22 21:00,1,0.005,1,0.044,
1,69,0.002,0.2,32,2,2,1,2024-04-22 20:00,1,0.004,2,0.053,
1,72,0.002,0.2,26,2,2,1,2024-04-22 19:00,1,0.004,2,0.056,
1,73,0.002,0.2,30,2,2,1,2024-04-22 18:00,1,0.004,2,0.057,
1,73,0.002,0.3,33,2,2,1,2024-04-22 17:00,1,0.004,2,0.057,
1,73,0.002,0.3,33,2,2,1,2024-04-22 16:00,1,0.004,2,0.057,
1,-,0.002,0.3,34,2,,1,2024-04-22 15:00,1,0.005,,0.056,
1,-,0.002,0.3,30,2,,1,2024-04-22 14:00,1,0.005,,0.053,
1,-,0.002,0.3,-,2,,1,2024-04-22 13:00,1,0.005,,0.049,통신장애
