so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Flag
1,70,0.002,0.3,31,2,2,1,2024-04-23 11:00,1,0.003,2,0.054,,,,,
1,73,0.002,0.3,44,2,2,1,2024-04-23 10:00,1,0.003,2,0.057,,,,,
1,70,0.002,0.3,40,2,2,1,2024-04-23 09:00,1,0.003,2,0.054,,,,,
1,72,0.002,0.3,31,2,2,1,2024-04-23 08:00,1,0.003,1,0.056,,,,,
1,78,0.002,0.3,23,2,2,1,2024-04-23 07:00,1,0.003,1,0.064,,,,,
1,82,0.002,0.3,28,2,2,1,2024-04-23 06:00,1,0.003,2,0.068,,,,,
1,83,0.002,0.3,32,2,2,1,2024-04-23 05:00,1,0.003,2,0.069,,,,,
1,82,0.002,0.3,33,2,2,1,2024-04-23 04:00,1,0.003,1,0.068,,,,,
1,80,0.002,0.3,31,2,2,1,2024-04-23 03:00,1,0.003,1,0.066,,,,,
1,78,0.002,0.3,30,2,2,1,2024-04-23 02:00,1,0.003,1,0.064,,,,,
1,78,0.002,0.3,30,2,2,1,2024-04-23 01:00,1,0.003,1,0.063,,,,,
1,78,0.002,0.3,31,2,2,1,2024-04-22 24:00,1,0.003,1,0.064,,,,,
1,78,0.002,0.3,28,2,2,1,2024-04-22 23:00,1,0.003,1,0.063,,,,,
1,77,0.002,0.3,32,2,2,1,2024-04-22 22:00,1,0.003,1,0.062,,,,,
1,77,0.002,0.3,30,2,2,1,2024-04-22 21:00,1,0.003,1,0.062,,,,,
1,75,0.002,0.3,31,2,2,1,2024-04-22 20:00,1,0.003,1,0.060,,,,,
1,73,0.002,0.3,26,2,2,1,2024-04-22 19:00,1,0.003,1,0.058,,,,,
1,73,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.003,1,0.057,,,,,
1,-,0.002,0.3,26,2,,1,2024-04-22 17:00,1,0.004,,0.056,,,,,
,-,-,-,32,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,66,0.002,0.3,36,2,2,1,2024-04-22 13:00,1,0.003,2,0.049,,,,,
