so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag,coFlag,no2Flag,o3Flag,so2Flag
1,52,0.002,0.4,32,2,2,1,2024-04-23 11:00,1,0.024,1,0.032,,,,,
1,47,0.003,0.5,32,1,1,1,2024-04-23 10:00,1,0.028,1,0.028,,,,,
1,61,0.003,0.4,39,1,2,2,2024-04-23 09:00,1,0.037,1,0.022,,,,,
1,59,0.003,0.5,28,1,2,2,2024-04-23 08:00,1,0.036,1,0.018,,,,,
1,68,0.002,0.5,25,1,2,2,2024-04-23 07:00,1,0.041,1,0.020,,,,,
1,51,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.020,1,0.031,,,,,
1,55,0.002,0.3,13,2,2,1,2024-04-23 05:00,1,0.011,1,0.036,,,,,
1,58,0.002,0.3,14,2,2,1,2024-04-23 04:00,1,0.007,1,0.039,,,,,
1,57,0.002,0.3,16,2,2,1,2024-04-23 03:00,1,0.010,1,0.038,,,,,
1,53,0.002,0.3,21,2,2,1,2024-04-23 02:00,1,0.012,1,0.034,,,,,
1,51,0.002,0.4,-,1,2,1,2024-04-23 01:00,1,0.021,2,0.027,통신장애,,,,
1,52,0.002,0.4,24,1,2,1,2024-04-22 24:00,1,0.025,2,0.026,,,,,
1,54,0.002,0.5,29,1,2,1,2024-04-22 23:00,1,0.023,2,0.026,,,,,
1,56,0.002,0.5,32,1,2,1,2024-04-22 22:00,1,0.027,2,0.027,,,,,
1,57,0.002,0.5,35,1,2,1,2024-04-22 21:00,1,0.027,2,0.027,,,,,
1,66,0.003,0.6,33,1,2,2,2024-04-22 20:00,1,0.040,2,0.020,,,,,
1,63,0.003,0.6,42,1,2,2,2024-04-22 19:00,1,0.038,2,0.022,,,,,
1,66,0.002,0.5,39,1,2,2,2024-04-22 18:00,1,0.040,2,0.028,,,,,
1,56,0.002,0.4,33,2,2,1,2024-04-22 17:00,1,0.029,2,0.035,,,,,
,-,-,-,33,,,,2024-04-22 16:00,,-,2,-,,통신장애,통신장애,통신장애,통신장애
1,58,0.002,0.4,-,2,2,1,2024-04-22 15:00,1,0.023,2,0.037,통신장애,,,,
1,58,0.002,0.4,36,2,2,1,2024-04-22 14:00,1,0.018,2,0.035,,,,,
