so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.003,0.4,13,2,2,1,2024-04-23 11:00,1,0.005,1,0.059
1,72,0.003,0.4,19,2,2,1,2024-04-23 10:00,1,0.007,1,0.056
1,68,0.003,0.4,16,2,2,1,2024-04-23 09:00,1,0.011,1,0.051
1,70,0.003,0.4,13,2,2,1,2024-04-23 08:00,1,0.009,1,0.054
1,68,0.003,0.4,13,2,2,1,2024-04-23 07:00,1,0.010,1,0.052
1,71,0.003,0.4,18,2,2,1,2024-04-23 06:00,1,0.007,1,0.055
1,71,0.003,0.4,16,2,2,1,2024-04-23 05:00,1,0.006,1,0.055
1,74,0.003,0.3,10,2,2,1,2024-04-23 04:00,1,0.004,1,0.059
1,73,0.003,0.3,12,2,2,1,2024-04-23 03:00,1,0.004,1,0.058
1,73,0.003,0.3,12,2,2,1,2024-04-23 02:00,1,0.004,1,0.058
1,71,0.003,0.4,15,2,2,1,2024-04-23 01:00,1,0.006,1,0.055
1,70,0.003,0.4,21,2,2,1,2024-04-22 24:00,1,0.006,1,0.054
1,69,0.003,0.4,16,2,2,1,2024-04-22 23:00,1,0.008,1,0.053
1,70,0.003,0.4,22,2,2,1,2024-04-22 22:00,1,0.008,1,0.054
1,71,0.003,0.4,19,2,2,1,2024-04-22 21:00,1,0.009,1,0.055
1,72,0.003,0.4,24,2,2,1,2024-04-22 20:00,1,0.010,1,0.056
1,74,0.003,0.4,19,2,2,1,2024-04-22 19:00,1,0.011,1,0.059
1,79,0.003,0.4,22,2,2,1,2024-04-22 18:00,1,0.007,1,0.065
1,81,0.003,0.4,17,2,2,1,2024-04-22 17:00,1,0.006,1,0.067
1,79,0.003,0.4,19,2,2,1,2024-04-22 16:00,1,0.006,1,0.065
1,80,0.003,0.4,20,2,2,1,2024-04-22 15:00,1,0.005,1,0.066
1,78,0.003,0.4,28,2,2,1,2024-04-22 14:00,1,0.006,1,0.064
