so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.001,0.2,17,2,2,1,2024-04-23 11:00,1,0.008,1,0.060
1,74,0.002,0.2,18,2,2,1,2024-04-23 10:00,1,0.008,1,0.059
1,69,0.002,0.3,19,2,2,1,2024-04-23 09:00,1,0.012,1,0.053
1,61,0.002,0.3,12,2,2,1,2024-04-23 08:00,1,0.017,1,0.043
1,55,0.002,0.3,17,2,2,1,2024-04-23 07:00,1,0.012,1,0.036
1,55,0.002,0.3,16,2,2,1,2024-04-23 06:00,1,0.009,1,0.036
1,58,0.002,0.2,14,2,2,1,2024-04-23 05:00,1,0.007,1,0.040
1,60,0.002,0.2,16,2,2,1,2024-04-23 04:00,1,0.006,1,0.042
1,61,0.002,0.2,17,2,2,1,2024-04-23 03:00,1,0.006,1,0.043
1,61,0.002,0.3,18,2,2,1,2024-04-23 02:00,1,0.007,1,0.043
1,63,0.002,0.2,20,2,2,1,2024-04-23 01:00,1,0.007,1,0.045
1,63,0.002,0.3,23,2,2,1,2024-04-22 24:00,1,0.008,1,0.046
1,70,0.002,0.3,24,2,2,1,2024-04-22 23:00,1,0.009,1,0.054
1,63,0.002,0.4,24,2,2,1,2024-04-22 22:00,1,0.010,1,0.046
1,60,0.002,0.3,26,2,2,1,2024-04-22 21:00,1,0.012,1,0.042
1,67,0.002,0.3,27,2,2,1,2024-04-22 20:00,1,0.009,1,0.050
1,76,0.002,0.3,29,2,2,1,2024-04-22 19:00,1,0.010,1,0.061
1,80,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.008,1,0.066
1,81,0.002,0.3,22,2,2,1,2024-04-22 17:00,1,0.007,1,0.067
1,80,0.002,0.2,27,2,2,1,2024-04-22 16:00,1,0.007,1,0.066
1,79,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.007,1,0.065
1,78,0.002,0.3,25,2,2,1,2024-04-22 14:00,1,0.007,1,0.063
