so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,72,0.002,0.4,19,2,2,1,2024-04-23 11:00,1,0.010,1,0.056,,,,,
1,68,0.002,0.4,21,2,2,1,2024-04-23 10:00,1,0.012,1,0.051,,,,,
1,64,0.002,0.4,22,2,2,1,2024-04-23 09:00,1,0.016,1,0.047,,,,,
1,64,0.002,0.4,20,2,2,1,2024-04-23 08:00,1,0.015,1,0.047,,,,,
1,68,0.002,0.4,17,2,2,1,2024-04-23 07:00,1,0.012,1,0.051,,,,,
1,66,0.002,0.6,19,2,2,1,2024-04-23 06:00,1,0.012,1,0.049,,,,,
1,67,0.002,0.4,20,2,2,1,2024-04-23 05:00,1,0.009,1,0.050,,,,,
1,66,0.002,0.3,21,2,2,1,2024-04-23 04:00,1,0.009,1,0.049,,,,,
1,66,0.002,0.3,20,2,2,1,2024-04-23 03:00,1,0.009,1,0.049,,,,,
1,65,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.009,1,0.048,,,,,
1,63,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.011,2,0.046,,,,,
1,63,0.002,0.3,29,2,2,1,2024-04-22 24:00,1,0.014,2,0.045,,,,,
1,63,0.002,0.3,32,2,2,1,2024-04-22 23:00,1,0.014,2,0.045,,,,,
1,59,0.003,0.4,38,2,2,1,2024-04-22 22:00,1,0.027,2,0.039,,,,,
1,71,0.004,0.5,48,2,2,2,2024-04-22 21:00,1,0.043,2,0.039,,,,,
1,68,0.002,0.4,33,2,2,1,2024-04-22 20:00,1,0.024,2,0.051,,,,,
1,-,0.002,0.3,32,2,,1,2024-04-22 19:00,1,0.015,,0.057,,,,,
1,-,0.002,0.3,31,2,,1,2024-04-22 18:00,1,0.012,,0.061,,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,75,0.002,0.3,30,2,2,1,2024-04-22 15:00,1,0.011,2,0.060,,,,,
1,75,0.002,0.3,34,2,2,1,2024-04-22 14:00,1,0.010,2,0.060,,,,,
1,73,0.002,0.4,29,2,2,1,2024-04-22 13:00,1,0.011,2,0.057,,,,,
