so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,60,0.002,0.4,23,2,2,1,2024-04-23 10:00,1,0.011,1,0.042
1,53,0.002,0.4,29,2,2,1,2024-04-23 09:00,1,0.019,1,0.033
1,47,0.003,0.4,22,1,1,1,2024-04-23 08:00,1,0.025,1,0.019
1,47,0.003,0.4,25,1,1,1,2024-04-23 07:00,1,0.018,1,0.019
1,47,0.002,0.4,22,1,1,1,2024-04-23 06:00,1,0.014,1,0.027
1,57,0.003,0.3,19,2,2,1,2024-04-23 05:00,1,0.009,1,0.038
1,58,0.002,0.3,19,2,2,1,2024-04-23 04:00,1,0.008,1,0.040
1,59,0.002,0.3,19,2,2,1,2024-04-23 03:00,1,0.007,1,0.041
1,58,0.002,0.4,22,2,2,1,2024-04-23 02:00,1,0.008,1,0.039
1,57,0.003,0.3,23,2,2,1,2024-04-23 01:00,1,0.008,2,0.038
1,59,0.003,0.4,26,2,2,1,2024-04-22 24:00,1,0.009,2,0.032
1,61,0.003,0.4,30,1,2,1,2024-04-22 23:00,1,0.010,2,0.029
1,61,0.003,0.4,48,2,2,1,2024-04-22 22:00,1,0.017,2,0.040
1,73,0.003,0.4,49,2,2,1,2024-04-22 21:00,1,0.020,2,0.058
1,79,0.003,0.4,45,2,2,1,2024-04-22 20:00,1,0.015,2,0.065
1,73,0.003,0.4,32,2,2,1,2024-04-22 19:00,1,0.013,1,0.058
1,72,0.002,0.4,27,2,2,1,2024-04-22 18:00,1,0.008,1,0.056
1,73,0.002,0.3,28,2,2,1,2024-04-22 17:00,1,0.008,2,0.058
1,74,0.002,0.4,30,2,2,1,2024-04-22 16:00,1,0.008,2,0.059
1,73,0.003,0.4,28,2,2,1,2024-04-22 15:00,1,0.007,2,0.057
1,70,0.003,0.3,34,2,2,1,2024-04-22 14:00,1,0.008,2,0.054
1,68,0.003,0.4,31,2,2,1,2024-04-22 13:00,1,0.007,2,0.051
1,65,0.003,0.4,34,2,2,1,2024-04-22 12:00,1,0.009,2,0.048
