so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,60,0.001,0.4,22,2,2,1,2024-04-23 11:00,1,0.016,1,0.042,,,,,
1,56,0.001,0.4,22,2,2,1,2024-04-23 10:00,1,0.020,1,0.037,,,,,
1,53,0.001,0.4,22,2,2,1,2024-04-23 09:00,1,0.022,1,0.033,,,,,
1,57,0.001,0.4,21,2,2,1,2024-04-23 08:00,1,0.014,1,0.038,,,,,
1,56,0.001,0.3,18,2,2,1,2024-04-23 07:00,1,0.016,1,0.037,,,,,
1,58,0.001,0.3,16,2,2,1,2024-04-23 06:00,1,0.010,1,0.040,,,,,
1,60,0.001,0.3,16,2,2,1,2024-04-23 05:00,1,0.006,1,0.042,,,,,
1,57,0.001,0.3,19,2,2,1,2024-04-23 04:00,1,0.009,1,0.038,,,,,
1,59,0.001,0.3,21,2,2,1,2024-04-23 03:00,1,0.008,2,0.037,,,,,
1,61,0.001,0.4,24,2,2,1,2024-04-23 02:00,1,0.010,2,0.034,,,,,
1,61,0.001,0.4,26,2,2,1,2024-04-23 01:00,1,0.012,2,0.035,,,,,
1,61,0.001,0.5,48,2,2,1,2024-04-22 24:00,1,0.021,2,0.034,,,,,
1,60,0.001,0.5,48,2,2,1,2024-04-22 23:00,1,0.021,2,0.037,,,,,
1,58,0.001,0.4,36,2,2,1,2024-04-22 22:00,1,0.015,2,0.037,,,,,
1,63,0.001,0.6,39,1,2,2,2024-04-22 21:00,1,0.038,2,0.025,,,,,
1,68,0.001,0.6,42,1,2,2,2024-04-22 20:00,1,0.041,2,0.028,,,,,
1,58,0.001,0.5,36,2,2,1,2024-04-22 19:00,1,0.028,2,0.039,,,,,
1,59,0.001,0.4,39,2,2,1,2024-04-22 18:00,1,0.027,2,0.041,,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,67,0.001,0.4,44,2,2,1,2024-04-22 16:00,1,0.020,2,0.050,,,,,
1,68,0.001,0.4,35,2,2,1,2024-04-22 15:00,1,0.018,2,0.051,,,,,
1,67,0.001,0.5,35,2,2,1,2024-04-22 14:00,1,0.016,2,0.050,,,,,
