so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.002,0.2,34,2,2,1,2024-04-23 11:00,1,0.017,1,0.048
1,74,0.002,0.3,31,2,2,1,2024-04-23 10:00,1,0.018,1,0.044
1,77,0.002,0.3,27,2,2,1,2024-04-23 09:00,1,0.020,1,0.042
1,79,0.003,0.3,29,1,2,1,2024-04-23 08:00,1,0.026,1,0.025
1,-,0.003,0.4,33,1,,1,2024-04-23 07:00,1,0.029,1,0.016
1,-,0.002,0.3,25,1,,1,2024-04-23 06:00,1,0.022,1,0.023
1,-,0.002,0.3,23,2,,1,2024-04-23 05:00,1,0.019,2,0.035
1,77,0.002,0.3,23,2,2,1,2024-04-23 04:00,1,0.017,2,0.037
1,79,0.002,0.3,26,2,2,1,2024-04-23 03:00,1,0.016,2,0.037
1,82,0.002,0.3,36,2,2,1,2024-04-23 02:00,1,0.017,2,0.040
1,82,0.002,0.3,45,2,2,1,2024-04-23 01:00,1,0.014,2,0.060
1,82,0.003,0.3,33,2,2,1,2024-04-22 24:00,1,0.015,2,0.036
1,82,0.002,0.3,34,2,2,1,2024-04-22 23:00,1,0.016,2,0.044
1,87,0.002,0.3,41,2,2,1,2024-04-22 22:00,1,0.007,2,0.074
1,91,0.002,0.3,36,2,2,1,2024-04-22 21:00,1,0.008,2,0.079
1,94,0.002,0.3,36,2,2,1,2024-04-22 20:00,1,0.009,2,0.083
1,93,0.002,0.2,39,2,2,1,2024-04-22 19:00,1,0.009,2,0.081
1,90,0.002,0.2,37,2,2,1,2024-04-22 18:00,1,0.011,2,0.078
1,78,0.002,0.2,38,2,2,1,2024-04-22 17:00,1,0.015,2,0.064
1,79,0.002,0.2,39,2,2,1,2024-04-22 16:00,1,0.013,2,0.065
1,79,0.002,0.2,30,2,2,1,2024-04-22 15:00,1,0.011,2,0.065
1,77,0.002,0.3,34,2,2,1,2024-04-22 14:00,1,0.013,2,0.059
