so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,59,0.001,0.2,35,2,2,1,2024-04-23 11:00,1,0.019,2,0.041
1,55,0.001,0.2,35,2,2,1,2024-04-23 10:00,1,0.024,2,0.036
1,51,0.001,0.3,46,1,2,2,2024-04-23 09:00,1,0.031,2,0.029
1,54,0.001,0.2,34,1,2,2,2024-04-23 08:00,1,0.033,1,0.028
1,54,0.001,0.2,30,1,2,2,2024-04-23 07:00,1,0.033,1,0.029
1,59,0.001,0.2,23,2,2,1,2024-04-23 06:00,1,0.018,1,0.041
1,58,0.001,0.2,23,2,2,1,2024-04-23 05:00,1,0.016,1,0.040
1,58,0.001,0.2,22,2,2,1,2024-04-23 04:00,1,0.013,1,0.040
1,60,0.001,0.2,26,2,2,1,2024-04-23 03:00,1,0.013,2,0.042
1,58,0.001,0.2,26,2,2,1,2024-04-23 02:00,1,0.016,2,0.039
1,58,0.001,0.2,27,2,2,1,2024-04-23 01:00,1,0.018,2,0.040
1,58,0.001,0.2,27,2,2,1,2024-04-22 24:00,1,0.015,2,0.040
1,60,0.001,0.2,27,2,2,1,2024-04-22 23:00,1,0.014,2,0.042
1,63,0.001,0.2,39,2,2,1,2024-04-22 22:00,1,0.018,2,0.039
1,65,0.001,0.3,42,2,2,1,2024-04-22 21:00,1,0.025,2,0.036
1,64,0.001,0.3,45,1,2,2,2024-04-22 20:00,1,0.032,2,0.027
1,64,0.001,0.3,51,2,2,2,2024-04-22 19:00,1,0.034,2,0.033
1,62,0.001,0.3,46,2,2,2,2024-04-22 18:00,1,0.032,2,0.036
1,63,0.001,0.3,37,2,2,1,2024-04-22 17:00,1,0.021,2,0.046
1,64,0.001,0.3,38,2,2,1,2024-04-22 16:00,1,0.019,2,0.047
1,64,0.001,0.2,39,2,2,1,2024-04-22 15:00,1,0.019,2,0.047
1,63,0.001,0.2,41,2,2,1,2024-04-22 14:00,1,0.017,2,0.045
