so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.003,0.6,23,2,2,1,2024-04-23 11:00,1,0.012,1,0.061
1,71,0.003,0.7,24,2,2,1,2024-04-23 10:00,1,0.013,1,0.055
1,66,0.003,0.7,24,2,2,1,2024-04-23 09:00,1,0.017,1,0.049
1,67,0.003,0.7,20,2,2,1,2024-04-23 08:00,1,0.016,1,0.050
1,58,0.003,0.7,24,2,2,1,2024-04-23 07:00,1,0.023,1,0.040
1,63,0.003,0.7,19,2,2,1,2024-04-23 06:00,1,0.017,1,0.045
1,63,0.003,0.7,20,2,2,1,2024-04-23 05:00,1,0.013,1,0.046
1,68,0.003,0.6,22,2,2,1,2024-04-23 04:00,1,0.010,1,0.051
1,68,0.003,0.6,17,2,2,1,2024-04-23 03:00,1,0.009,1,0.052
1,66,0.003,0.6,21,2,2,1,2024-04-23 02:00,1,0.011,1,0.049
1,65,0.003,0.6,28,2,2,1,2024-04-23 01:00,1,0.012,2,0.048
1,65,0.003,0.6,30,2,2,1,2024-04-22 24:00,1,0.015,2,0.048
1,68,0.003,0.6,31,2,2,1,2024-04-22 23:00,1,0.015,2,0.051
1,72,0.003,0.6,41,2,2,1,2024-04-22 22:00,1,0.025,2,0.056
1,68,0.003,0.7,40,2,2,1,2024-04-22 21:00,1,0.029,2,0.052
1,78,0.003,0.7,41,2,2,1,2024-04-22 20:00,1,0.030,2,0.064
1,83,0.003,0.5,36,2,2,1,2024-04-22 19:00,1,0.027,1,0.070
1,87,0.003,0.4,26,2,2,1,2024-04-22 18:00,1,0.016,1,0.074
1,89,0.003,0.4,27,2,2,1,2024-04-22 17:00,1,0.015,2,0.077
1,90,0.003,0.4,27,2,2,1,2024-04-22 16:00,1,0.015,2,0.078
1,87,0.003,0.5,30,2,2,1,2024-04-22 15:00,1,0.015,2,0.074
1,85,0.003,0.5,31,2,2,1,2024-04-22 14:00,1,0.013,2,0.072
