so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.001,0.3,21,2,2,1,2024-04-23 11:00,1,0.005,1,0.059
1,73,0.001,0.3,21,2,2,1,2024-04-23 10:00,1,0.005,1,0.058
1,69,0.002,0.3,21,2,2,1,2024-04-23 09:00,1,0.005,1,0.053
1,58,0.002,0.3,24,2,2,1,2024-04-23 08:00,1,0.008,1,0.040
1,47,0.002,0.3,24,1,1,1,2024-04-23 07:00,1,0.010,1,0.028
1,51,0.002,0.3,17,2,2,1,2024-04-23 06:00,1,0.006,1,0.031
1,52,0.002,0.3,17,2,2,1,2024-04-23 05:00,1,0.005,1,0.032
1,43,0.001,0.3,18,1,1,1,2024-04-23 04:00,1,0.006,1,0.026
1,43,0.001,0.3,18,1,1,1,2024-04-23 03:00,1,0.007,1,0.023
1,43,0.001,0.3,23,1,1,1,2024-04-23 02:00,1,0.008,1,0.024
1,51,0.001,0.3,22,2,2,1,2024-04-23 01:00,1,0.007,1,0.031
1,56,0.001,0.3,23,2,2,1,2024-04-22 24:00,1,0.006,1,0.037
1,56,0.001,0.3,24,2,2,1,2024-04-22 23:00,1,0.007,1,0.037
1,62,0.001,0.3,22,2,2,1,2024-04-22 22:00,1,0.006,1,0.044
1,65,0.001,0.3,22,2,2,1,2024-04-22 21:00,1,0.006,1,0.048
1,67,0.002,0.3,23,2,2,1,2024-04-22 20:00,1,0.005,1,0.050
1,-,0.002,0.3,26,2,,1,2024-04-22 19:00,1,0.009,1,0.035
1,-,0.002,0.3,27,2,,1,2024-04-22 18:00,1,0.009,1,0.036
1,-,0.002,0.3,28,2,,1,2024-04-22 17:00,1,0.008,1,0.043
1,67,0.002,0.3,22,2,2,1,2024-04-22 16:00,1,0.005,1,0.050
1,68,0.002,0.3,22,2,2,1,2024-04-22 15:00,1,0.005,1,0.052
1,68,0.002,0.3,23,2,2,1,2024-04-22 14:00,1,0.005,1,0.051
