so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,27,2,2,1,2024-04-23 11:00,1,0.005,1,0.049
1,64,0.002,0.3,34,2,2,1,2024-04-23 10:00,1,0.005,1,0.047
1,57,0.002,0.3,24,2,2,1,2024-04-23 09:00,1,0.005,1,0.038
1,37,0.002,0.3,19,1,1,1,2024-04-23 08:00,1,0.006,1,0.014
1,37,0.002,0.3,23,1,1,1,2024-04-23 07:00,1,0.006,1,0.014
1,37,0.002,0.3,22,1,1,1,2024-04-23 06:00,1,0.005,1,0.020
1,37,0.002,0.3,28,1,1,1,2024-04-23 05:00,1,0.005,1,0.021
1,37,0.002,0.3,15,1,1,1,2024-04-23 04:00,1,0.005,1,0.019
1,38,0.002,0.3,23,1,1,1,2024-04-23 03:00,1,0.005,1,0.020
1,37,0.002,0.3,25,1,1,1,2024-04-23 02:00,1,0.005,1,0.022
1,37,0.002,0.3,22,1,1,1,2024-04-23 01:00,1,0.005,1,0.016
1,40,0.002,0.3,24,1,1,1,2024-04-22 24:00,1,0.005,1,0.007
1,40,0.002,0.3,21,1,1,1,2024-04-22 23:00,1,0.006,1,0.012
1,43,0.002,0.3,19,1,1,1,2024-04-22 22:00,1,0.005,1,0.024
1,43,0.002,0.3,20,1,1,1,2024-04-22 21:00,1,0.006,1,0.024
1,51,0.002,0.3,25,2,2,1,2024-04-22 20:00,1,0.006,1,0.031
1,53,0.002,0.3,22,2,2,1,2024-04-22 19:00,1,0.006,1,0.033
1,53,0.002,0.3,21,2,2,1,2024-04-22 18:00,1,0.005,1,0.033
1,54,0.002,0.3,26,2,2,1,2024-04-22 17:00,1,0.005,1,0.035
1,52,0.002,0.3,18,2,2,1,2024-04-22 16:00,1,0.007,1,0.032
1,56,0.002,0.3,18,2,2,1,2024-04-22 15:00,1,0.006,1,0.037
1,50,0.002,0.3,24,1,1,1,2024-04-22 14:00,1,0.007,1,0.030
