coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,26,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,64,0.003,0.2,22,,,,2024-04-23 10:00,0.008,1,0.047,1,2,2,1,1
,58,-,0.3,26,,,통신장애,2024-04-23 09:00,0.012,1,0.039,,2,2,1,1
,50,0.003,0.3,24,,,,2024-04-23 08:00,0.021,1,0.021,1,1,1,1,1
,51,0.003,0.3,21,,,,2024-04-23 07:00,0.015,1,0.027,1,1,2,1,1
,53,0.003,0.2,20,,,,2024-04-23 06:00,0.011,1,0.033,1,2,2,1,1
,60,0.003,0.2,18,,,,2024-04-23 05:00,0.008,1,0.042,1,2,2,1,1
,65,0.003,0.2,18,,,,2024-04-23 04:00,0.005,1,0.048,1,2,2,1,1
,61,0.003,0.2,11,,,,2024-04-23 03:00,0.006,1,0.043,1,2,2,1,1
,60,0.003,0.2,19,,,,2024-04-23 02:00,0.006,1,0.042,1,2,2,1,1
,62,0.003,0.2,24,,,,2024-04-23 01:00,0.006,1,0.044,1,2,2,1,1
,63,-,0.2,25,,,통신장애,2024-04-22 24:00,0.005,2,0.046,,2,2,1,1
,61,-,0.3,30,,,통신장애,2024-04-22 23:00,0.009,2,0.043,,2,2,1,1
,68,-,0.3,37,,,통신장애,2024-04-22 22:00,0.010,2,0.052,,2,2,1,1
,80,-,0.3,36,,,통신장애,2024-04-22 21:00,0.010,2,0.066,,2,2,1,1
,79,-,0.3,41,,,통신장애,2024-04-22 20:00,0.009,1,0.065,,2,2,1,1
,73,-,0.2,25,,,통신장애,2024-04-22 19:00,0.006,1,0.058,,2,2,1,1
,76,-,0.2,22,,,통신장애,2024-04-22 18:00,0.005,1,0.061,,2,2,1,1
,77,-,0.2,27,,,통신장애,2024-04-22 17:00,0.005,1,0.062,,2,2,1,1
,76,0.003,0.2,25,,,,2024-04-22 16:00,0.006,2,0.061,1,2,2,1,1
,77,0.003,0.2,31,,,,2024-04-22 15:00,0.005,2,0.062,1,2,2,1,1
,73,0.003,0.2,34,,,,2024-04-22 14:00,0.006,2,0.058,1,2,2,1,1
,72,0.003,0.2,32,,,,2024-04-22 13:00,0.005,2,0.056,1,2,2,1,1
