so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,o3Flag,coFlag,no2Flag,so2Flag,pm10Flag
1,68,0.003,0.8,32,2,2,1,2024-04-23 11:00,1,0.010,2,0.052,,,,,
1,66,0.003,0.8,35,2,2,1,2024-04-23 10:00,1,0.011,2,0.049,,,,,
1,58,0.003,0.8,27,2,2,1,2024-04-23 09:00,1,0.014,1,0.039,,,,,
1,52,0.003,0.8,32,1,2,1,2024-04-23 08:00,1,0.016,2,0.025,,,,,
1,52,0.003,0.8,29,1,2,1,2024-04-23 07:00,1,0.014,2,0.025,,,,,
1,53,0.002,0.8,32,1,2,1,2024-04-23 06:00,1,0.015,2,0.020,,,,,
1,53,0.003,0.8,37,1,2,1,2024-04-23 05:00,1,0.014,2,0.021,,,,,
1,51,0.002,0.8,27,1,2,1,2024-04-23 04:00,1,0.018,2,0.019,,,,,
1,53,0.002,0.8,32,1,2,1,2024-04-23 03:00,1,0.018,2,0.021,,,,,
1,53,0.002,0.8,29,1,2,1,2024-04-23 02:00,1,0.019,2,0.022,,,,,
1,61,0.002,0.8,29,2,2,1,2024-04-23 01:00,1,0.012,2,0.043,,,,,
1,65,0.003,0.8,32,2,2,1,2024-04-22 24:00,1,0.008,2,0.048,,,,,
1,64,0.003,0.8,33,2,2,1,2024-04-22 23:00,1,0.008,2,0.047,,,,,
1,64,0.003,0.8,32,2,2,1,2024-04-22 22:00,1,0.009,2,0.047,,,,,
1,61,0.003,0.8,43,2,2,1,2024-04-22 21:00,1,0.011,2,0.043,,,,,
1,58,0.003,0.8,38,2,2,1,2024-04-22 20:00,1,0.015,2,0.035,,,,,
1,-,0.003,0.8,39,,,1,2024-04-22 19:00,1,0.012,2,-,통신장애,,,,
,-,-,-,35,,,,2024-04-22 18:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 17:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,39,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,
1,60,0.003,0.8,40,2,2,1,2024-04-22 15:00,1,0.010,2,0.042,,,,,
1,59,0.003,0.8,34,2,2,1,2024-04-22 14:00,1,0.010,2,0.041,,,,,
1,62,0.003,0.8,36,2,2,1,2024-04-22 13:00,1,0.009,2,0.044,,,,,
