so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,30,2,2,1,2024-04-23 11:00,1,0.005,1,0.058
1,69,0.001,0.3,29,2,2,1,2024-04-23 10:00,1,0.007,1,0.053
1,66,0.001,0.3,25,2,2,1,2024-04-23 09:00,1,0.007,1,0.049
1,59,0.001,0.3,21,2,2,1,2024-04-23 08:00,1,0.010,1,0.041
1,58,0.001,0.2,19,2,2,1,2024-04-23 07:00,1,0.010,1,0.039
1,60,0.001,0.2,23,2,2,1,2024-04-23 06:00,1,0.005,1,0.042
1,57,0.001,0.2,22,2,2,1,2024-04-23 05:00,1,0.005,1,0.038
1,58,0.001,0.2,19,2,2,1,2024-04-23 04:00,1,0.005,1,0.039
1,57,0.001,0.2,20,2,2,1,2024-04-23 03:00,1,0.005,1,0.038
1,58,0.001,0.2,20,2,2,1,2024-04-23 02:00,1,0.005,1,0.039
1,61,0.001,0.2,20,2,2,1,2024-04-23 01:00,1,0.005,1,0.043
1,59,0.001,0.3,26,2,2,1,2024-04-22 24:00,1,0.010,1,0.041
1,61,0.001,0.2,26,2,2,1,2024-04-22 23:00,1,0.008,1,0.043
1,63,0.001,0.3,36,2,2,1,2024-04-22 22:00,1,0.008,2,0.045
1,60,0.001,0.3,29,2,2,1,2024-04-22 21:00,1,0.011,2,0.042
1,59,0.001,0.3,21,2,2,1,2024-04-22 20:00,1,0.014,2,0.041
1,70,0.001,0.3,41,2,2,1,2024-04-22 19:00,1,0.010,2,0.054
1,77,0.001,0.3,33,2,2,1,2024-04-22 18:00,1,0.007,2,0.062
1,81,0.001,0.3,34,2,2,1,2024-04-22 17:00,1,0.005,2,0.067
1,83,0.001,0.3,37,2,2,1,2024-04-22 16:00,1,0.004,2,0.070
1,84,0.001,0.3,27,2,2,1,2024-04-22 15:00,1,0.003,2,0.071
1,82,0.001,0.3,34,2,2,1,2024-04-22 14:00,1,0.003,2,0.068
1,76,0.001,0.3,36,2,2,1,2024-04-22 13:00,1,0.005,2,0.061
