so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,86,0.003,0.3,34,2,2,1,2024-04-23 12:00,1,0.004,1,0.073
1,85,0.003,0.3,40,2,2,1,2024-04-23 11:00,1,0.004,1,0.072
1,83,0.003,0.3,33,2,2,1,2024-04-23 10:00,1,0.004,1,0.069
1,76,0.003,0.3,21,2,2,1,2024-04-23 09:00,1,0.006,1,0.061
1,68,0.003,0.3,17,2,2,1,2024-04-23 08:00,1,0.008,1,0.052
1,53,0.003,0.3,14,2,2,1,2024-04-23 07:00,1,0.009,1,0.033
1,57,0.003,0.3,18,2,2,1,2024-04-23 06:00,1,0.007,1,0.038
1,56,0.003,0.3,19,2,2,1,2024-04-23 05:00,1,0.006,1,0.037
1,52,0.003,0.3,18,2,2,1,2024-04-23 04:00,1,0.005,1,0.032
1,54,0.003,0.3,23,2,2,1,2024-04-23 03:00,1,0.005,1,0.035
1,52,0.003,0.3,22,2,2,1,2024-04-23 02:00,1,0.005,1,0.032
1,52,0.003,0.3,20,2,2,1,2024-04-23 01:00,1,0.007,1,0.032
1,54,0.003,0.3,24,2,2,1,2024-04-22 24:00,1,0.007,1,0.035
1,56,0.003,0.3,31,2,2,1,2024-04-22 23:00,1,0.009,1,0.037
1,64,0.003,0.3,32,2,2,1,2024-04-22 22:00,1,0.008,1,0.047
1,63,0.003,0.3,32,2,2,1,2024-04-22 21:00,1,0.008,1,0.046
1,73,0.003,0.3,27,2,2,1,2024-04-22 20:00,1,0.005,1,0.058
1,76,0.003,0.3,28,2,2,1,2024-04-22 19:00,1,0.005,1,0.061
1,77,0.003,0.3,17,2,2,1,2024-04-22 18:00,1,0.004,1,0.062
1,78,0.003,0.3,26,2,2,1,2024-04-22 17:00,1,0.004,2,0.064
1,81,0.003,0.3,23,2,2,1,2024-04-22 16:00,1,0.004,2,0.067
1,82,0.003,0.3,31,2,2,1,2024-04-22 15:00,1,0.003,2,0.068
1,81,0.003,0.3,26,2,2,1,2024-04-22 14:00,1,0.004,2,0.067
