so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,29,2,2,1,2024-04-23 11:00,1,0.016,1,0.049
1,61,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.017,1,0.043
1,71,0.002,0.3,21,2,2,2,2024-04-23 09:00,1,0.043,1,0.038
1,54,0.002,0.3,22,2,2,1,2024-04-23 08:00,1,0.030,1,0.035
1,53,0.002,0.3,22,2,2,1,2024-04-23 07:00,1,0.030,1,0.034
1,58,0.002,0.3,19,2,2,1,2024-04-23 06:00,1,0.021,1,0.040
1,63,0.002,0.3,19,2,2,1,2024-04-23 05:00,1,0.014,1,0.045
1,65,0.002,0.3,17,2,2,1,2024-04-23 04:00,1,0.010,1,0.048
1,64,0.002,0.3,18,2,2,1,2024-04-23 03:00,1,0.011,1,0.047
1,61,0.002,0.3,19,2,2,1,2024-04-23 02:00,1,0.014,1,0.043
1,59,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.015,2,0.041
1,59,0.002,0.3,25,2,2,1,2024-04-22 24:00,1,0.020,2,0.040
1,61,0.002,0.3,26,2,2,1,2024-04-22 23:00,1,0.020,2,0.040
1,59,0.003,0.4,53,2,2,1,2024-04-22 22:00,1,0.028,2,0.035
1,78,0.004,0.5,49,2,2,2,2024-04-22 21:00,1,0.047,2,0.034
1,65,0.003,0.5,35,2,2,2,2024-04-22 20:00,1,0.039,2,0.040
1,63,0.002,0.4,31,2,2,1,2024-04-22 19:00,1,0.029,2,0.045
1,68,0.003,0.3,28,2,2,1,2024-04-22 18:00,1,0.019,2,0.052
1,72,0.003,0.3,33,2,2,1,2024-04-22 17:00,1,0.018,2,0.056
1,73,0.002,0.3,32,2,2,1,2024-04-22 16:00,1,0.015,2,0.057
1,69,0.003,0.3,34,2,2,1,2024-04-22 15:00,1,0.016,2,0.053
1,70,0.002,0.3,33,2,2,1,2024-04-22 14:00,1,0.017,2,0.054
