coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 10:00,-,-,1,,,,,
,60,0.002,0.4,,26,,,,2024-04-23 09:00,0.018,0.042,1,1,2,2,1,1
,61,0.002,0.3,,21,,,,2024-04-23 08:00,0.018,0.043,1,1,2,2,1,1
,60,0.002,0.3,,22,,,,2024-04-23 07:00,0.019,0.042,1,1,2,2,1,1
,62,0.002,0.3,,19,,,,2024-04-23 06:00,0.014,0.044,1,1,2,2,1,1
,65,0.002,0.3,,21,,,,2024-04-23 05:00,0.010,0.048,1,1,2,2,1,1
,66,0.002,0.3,,19,,,,2024-04-23 04:00,0.009,0.049,1,1,2,2,1,1
,64,0.002,0.3,,23,,,,2024-04-23 03:00,0.009,0.047,1,1,2,2,1,1
,63,0.003,0.3,,23,,,,2024-04-23 02:00,0.011,0.046,1,1,2,2,1,1
,63,0.002,0.3,,24,,,,2024-04-23 01:00,0.011,0.045,2,1,2,2,1,1
,61,0.002,0.3,,27,,,,2024-04-22 24:00,0.013,0.043,2,1,2,2,1,1
,60,0.002,0.4,,35,,,,2024-04-22 23:00,0.016,0.042,2,1,2,2,1,1
,63,0.003,0.4,,32,,,,2024-04-22 22:00,0.015,0.045,2,1,2,2,1,1
,63,0.002,0.4,,39,,,,2024-04-22 21:00,0.018,0.045,2,1,2,2,1,1
,69,0.002,0.4,,34,,,,2024-04-22 20:00,0.017,0.053,2,1,2,2,1,1
,73,0.002,0.4,,32,,,,2024-04-22 19:00,0.013,0.057,2,1,2,2,1,1
,77,0.002,0.3,,28,,,,2024-04-22 18:00,0.012,0.062,2,1,2,2,1,1
,75,0.002,0.3,,32,,,,2024-04-22 17:00,0.012,0.060,2,1,2,2,1,1
,76,0.002,0.3,,33,,,,2024-04-22 16:00,0.011,0.061,2,1,2,2,1,1
,74,0.002,0.4,,35,,,,2024-04-22 15:00,0.012,0.059,2,1,2,2,1,1
,73,0.002,0.3,,34,,,,2024-04-22 14:00,0.012,0.057,2,1,2,2,1,1
