so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.001,0.2,27,2,2,1,2024-04-23 11:00,1,0.005,1,0.059
1,72,0.001,0.2,25,2,2,1,2024-04-23 10:00,1,0.006,1,0.056
1,67,0.001,0.2,27,2,2,1,2024-04-23 09:00,1,0.010,1,0.050
1,64,0.001,0.2,24,2,2,1,2024-04-23 08:00,1,0.011,1,0.047
1,64,0.001,0.2,24,2,2,1,2024-04-23 07:00,1,0.009,1,0.047
1,60,0.002,0.2,24,2,2,1,2024-04-23 06:00,1,0.010,1,0.042
1,63,0.001,0.2,22,2,2,1,2024-04-23 05:00,1,0.007,1,0.046
1,64,0.001,0.2,21,2,2,1,2024-04-23 04:00,1,0.008,1,0.045
1,61,0.001,0.2,31,2,2,1,2024-04-23 03:00,1,0.013,1,0.038
1,59,0.002,0.2,24,2,2,1,2024-04-23 02:00,1,0.012,1,0.038
1,59,0.002,0.2,27,2,2,1,2024-04-23 01:00,1,0.012,2,0.037
1,61,0.002,0.3,32,2,2,1,2024-04-22 24:00,1,0.009,2,0.043
1,63,0.002,0.2,35,2,2,1,2024-04-22 23:00,1,0.008,2,0.045
1,64,0.002,0.3,36,2,2,1,2024-04-22 22:00,1,0.012,2,0.045
1,64,0.002,0.4,41,2,2,2,2024-04-22 21:00,1,0.031,2,0.032
1,73,0.002,0.3,34,2,2,1,2024-04-22 20:00,1,0.009,2,0.057
1,78,0.002,0.3,34,2,2,1,2024-04-22 19:00,1,0.006,2,0.064
1,82,0.002,0.2,27,2,2,1,2024-04-22 18:00,1,0.005,1,0.068
1,83,0.002,0.2,28,2,2,1,2024-04-22 17:00,1,0.005,2,0.069
1,82,0.002,0.2,30,2,2,1,2024-04-22 16:00,1,0.004,2,0.068
1,82,0.002,0.2,25,2,2,1,2024-04-22 15:00,1,0.004,2,0.068
1,81,0.002,0.2,29,2,2,1,2024-04-22 14:00,1,0.003,2,0.067
