coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,27,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,68,0.004,0.3,29,,,,2024-04-23 10:00,0.010,1,0.052,1,2,2,1,1
,68,0.004,0.3,26,,,,2024-04-23 09:00,0.012,1,0.052,1,2,2,1,1
,68,0.004,0.3,26,,,,2024-04-23 08:00,0.014,1,0.051,1,2,2,1,1
,71,0.004,0.3,24,,,,2024-04-23 07:00,0.011,1,0.055,1,2,2,1,1
,74,0.004,0.3,25,,,,2024-04-23 06:00,0.008,1,0.059,1,2,2,1,1
,76,0.003,0.3,23,,,,2024-04-23 05:00,0.007,1,0.061,1,2,2,1,1
,76,0.003,0.3,20,,,,2024-04-23 04:00,0.006,1,0.061,1,2,2,1,1
,77,0.003,0.3,26,,,,2024-04-23 03:00,0.005,1,0.062,1,2,2,1,1
,75,0.003,0.3,32,,,,2024-04-23 02:00,0.006,1,0.060,1,2,2,1,1
,73,0.004,0.3,33,,,,2024-04-23 01:00,0.008,1,0.057,1,2,2,1,1
,70,0.004,0.3,27,,,,2024-04-22 24:00,0.009,1,0.054,1,2,2,1,1
,72,0.003,0.3,26,,,,2024-04-22 23:00,0.007,1,0.056,1,2,2,1,1
,73,0.003,0.3,27,,,,2024-04-22 22:00,0.006,1,0.057,1,2,2,1,1
,72,0.003,0.3,28,,,,2024-04-22 21:00,0.008,1,0.056,1,2,2,1,1
,66,0.003,0.3,30,,,,2024-04-22 20:00,0.012,1,0.049,1,2,2,1,1
,64,0.003,0.3,30,,,,2024-04-22 19:00,0.011,1,0.047,1,2,2,1,1
,64,0.003,0.3,33,,,,2024-04-22 18:00,0.012,1,0.047,1,2,2,1,1
,66,0.003,0.3,25,,,,2024-04-22 17:00,0.010,1,0.049,1,2,2,1,1
,63,0.003,0.3,26,,,,2024-04-22 16:00,0.009,1,0.046,1,2,2,1,1
,59,-,0.3,21,,,통신장애,2024-04-22 15:00,0.010,1,0.041,,2,2,1,1
,60,-,0.3,21,,,통신장애,2024-04-22 14:00,0.009,1,0.042,,2,2,1,1
,60,-,0.3,20,,,통신장애,2024-04-22 13:00,0.009,1,0.042,,2,2,1,1
