coFlag,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,no2Value,pm10Grade,o3Value
통신장애,71,-,-,34,2,2,1,통신장애,2024-04-23 12:00,0.004,2,0.055
통신장애,72,-,-,35,2,2,1,통신장애,2024-04-23 11:00,0.004,2,0.056
통신장애,68,-,-,39,2,2,1,통신장애,2024-04-23 10:00,0.005,2,0.052
통신장애,70,-,-,34,2,2,1,통신장애,2024-04-23 09:00,0.005,1,0.054
통신장애,72,-,-,29,2,2,1,통신장애,2024-04-23 08:00,0.005,1,0.056
통신장애,74,-,-,28,2,2,1,통신장애,2024-04-23 07:00,0.004,1,0.059
통신장애,76,-,-,30,2,2,1,통신장애,2024-04-23 06:00,0.003,1,0.061
통신장애,76,-,-,26,2,2,1,통신장애,2024-04-23 05:00,0.003,2,0.061
통신장애,77,-,-,30,2,2,1,통신장애,2024-04-23 04:00,0.003,2,0.062
통신장애,77,-,-,31,2,2,1,통신장애,2024-04-23 03:00,0.003,2,0.062
통신장애,74,-,-,35,2,2,1,통신장애,2024-04-23 02:00,0.003,2,0.059
통신장애,76,-,-,33,2,2,1,통신장애,2024-04-23 01:00,0.004,2,0.061
통신장애,71,-,-,32,2,2,1,통신장애,2024-04-22 24:00,0.005,1,0.055
통신장애,71,-,-,27,2,2,1,통신장애,2024-04-22 23:00,0.005,1,0.055
통신장애,72,-,-,33,2,2,1,통신장애,2024-04-22 22:00,0.004,1,0.056
통신장애,70,-,-,32,2,2,1,통신장애,2024-04-22 21:00,0.005,1,0.054
통신장애,68,-,-,34,2,2,1,통신장애,2024-04-22 20:00,0.005,1,0.051
통신장애,68,-,-,30,2,2,1,통신장애,2024-04-22 19:00,0.006,1,0.051
통신장애,68,-,-,31,2,2,1,통신장애,2024-04-22 18:00,0.005,1,0.051
통신장애,68,-,-,36,2,2,1,통신장애,2024-04-22 17:00,0.005,1,0.051
통신장애,68,-,-,24,2,2,1,통신장애,2024-04-22 16:00,0.004,1,0.051
통신장애,65,-,-,23,2,2,1,통신장애,2024-04-22 15:00,0.004,1,0.048
통신장애,63,-,-,26,2,2,1,통신장애,2024-04-22 14:00,0.004,1,0.045
