so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,37,2,2,1,2024-04-23 11:00,1,0.010,1,0.056
1,72,0.001,0.2,33,2,2,1,2024-04-23 10:00,1,0.009,1,0.056
1,70,0.001,0.2,24,2,2,1,2024-04-23 09:00,1,0.006,1,0.054
1,65,0.001,0.2,25,2,2,1,2024-04-23 08:00,1,0.011,1,0.048
1,63,0.001,0.2,26,2,2,1,2024-04-23 07:00,1,0.013,1,0.045
1,64,0.001,0.2,23,2,2,1,2024-04-23 06:00,1,0.011,1,0.047
1,64,0.001,0.2,23,2,2,1,2024-04-23 05:00,1,0.010,1,0.047
1,64,0.001,0.2,25,2,2,1,2024-04-23 04:00,1,0.010,1,0.047
1,63,0.002,0.2,25,2,2,1,2024-04-23 03:00,1,0.012,1,0.046
1,61,0.002,0.2,28,2,2,1,2024-04-23 02:00,1,0.013,2,0.043
1,57,0.002,0.2,26,2,2,1,2024-04-23 01:00,1,0.012,2,0.038
1,56,0.001,0.2,31,2,2,1,2024-04-22 24:00,1,0.011,2,0.035
1,56,0.001,0.2,32,2,2,1,2024-04-22 23:00,1,0.012,2,0.031
1,54,0.001,0.2,32,1,2,1,2024-04-22 22:00,1,0.013,2,0.030
1,56,0.001,0.2,32,2,2,1,2024-04-22 21:00,1,0.010,2,0.034
1,55,0.001,0.2,32,2,2,1,2024-04-22 20:00,1,0.010,2,0.035
1,56,0.001,0.2,42,2,2,1,2024-04-22 19:00,1,0.013,2,0.036
1,59,0.001,0.2,35,2,2,1,2024-04-22 18:00,1,0.010,2,0.040
1,61,0.001,0.2,33,2,2,1,2024-04-22 17:00,1,0.009,2,0.043
1,63,0.001,0.2,31,2,2,1,2024-04-22 16:00,1,0.008,2,0.045
1,62,0.001,0.2,28,2,2,1,2024-04-22 15:00,1,0.008,2,0.044
1,63,0.001,0.2,33,2,2,1,2024-04-22 14:00,1,0.008,2,0.045
1,61,0.002,0.2,38,2,2,1,2024-04-22 13:00,1,0.011,2,0.042
