so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.2,33,2,2,1,2024-04-23 11:00,1,0.009,2,0.056
1,66,0.002,0.2,47,2,2,1,2024-04-23 10:00,1,0.012,2,0.049
1,61,0.002,0.2,57,2,2,1,2024-04-23 09:00,1,0.020,2,0.039
1,61,0.002,0.2,39,2,2,1,2024-04-23 08:00,1,0.018,2,0.037
1,64,0.002,0.3,27,2,2,1,2024-04-23 07:00,1,0.010,2,0.045
1,66,0.002,0.2,27,2,2,1,2024-04-23 06:00,1,0.012,2,0.040
1,69,0.002,0.2,29,2,2,1,2024-04-23 05:00,1,0.012,2,0.034
1,74,0.002,0.2,33,2,2,1,2024-04-23 04:00,1,0.012,2,0.032
1,74,0.002,0.2,35,2,2,1,2024-04-23 03:00,1,0.009,2,0.032
1,79,0.002,0.4,42,1,2,1,2024-04-23 02:00,1,0.017,2,0.024
1,77,0.002,0.4,63,1,2,1,2024-04-23 01:00,1,0.019,2,0.023
1,74,0.002,0.4,67,1,2,1,2024-04-22 24:00,1,0.029,2,0.022
1,72,0.002,0.4,54,1,2,2,2024-04-22 23:00,1,0.034,2,0.022
1,69,0.002,0.4,61,1,2,2,2024-04-22 22:00,1,0.035,2,0.025
1,69,0.002,0.4,48,1,2,2,2024-04-22 21:00,1,0.037,2,0.023
1,65,0.002,0.3,46,1,2,2,2024-04-22 20:00,1,0.039,2,0.014
1,64,0.002,0.3,31,1,2,2,2024-04-22 19:00,1,0.036,2,0.013
1,61,0.002,0.3,29,1,2,1,2024-04-22 18:00,1,0.020,2,0.024
1,64,0.002,0.3,26,1,2,1,2024-04-22 17:00,1,0.021,2,0.022
1,64,0.003,0.3,36,1,2,1,2024-04-22 16:00,1,0.026,2,0.022
1,64,0.003,0.3,33,1,2,1,2024-04-22 15:00,1,0.030,2,0.019
1,65,0.003,0.3,58,1,2,1,2024-04-22 14:00,1,0.029,2,0.026
