so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,66,0.003,0.3,34,2,2,1,2024-04-23 11:00,1,0.012,2,0.049,,,,,
1,63,0.003,0.3,38,2,2,1,2024-04-23 10:00,1,0.013,2,0.046,,,,,
1,59,0.002,0.3,34,2,2,1,2024-04-23 09:00,1,0.016,2,0.041,,,,,
1,51,0.002,0.3,41,1,2,1,2024-04-23 08:00,1,0.030,2,0.016,,,,,
1,50,0.002,0.3,33,1,1,1,2024-04-23 07:00,1,0.030,1,0.002,,,,,
1,51,0.002,0.3,23,1,2,1,2024-04-23 06:00,1,0.013,1,0.020,,,,,
1,51,0.002,0.3,26,1,2,1,2024-04-23 05:00,1,0.012,1,0.018,,,,,
1,54,0.002,0.3,26,1,2,1,2024-04-23 04:00,1,0.010,1,0.020,,,,,
1,54,0.002,0.3,31,1,2,1,2024-04-23 03:00,1,0.007,1,0.025,,,,,
1,56,0.002,0.3,28,1,2,1,2024-04-23 02:00,1,0.006,1,0.026,,,,,
1,59,0.002,0.3,28,1,2,1,2024-04-23 01:00,1,0.007,2,0.025,,,,,
1,61,0.002,0.3,25,1,2,1,2024-04-22 24:00,1,0.007,2,0.029,,,,,
1,61,0.002,0.3,27,1,2,1,2024-04-22 23:00,1,0.012,2,0.022,,,,,
1,58,0.002,0.4,41,1,2,1,2024-04-22 22:00,1,0.018,2,0.015,,,,,
1,58,0.003,0.3,38,1,2,1,2024-04-22 21:00,1,0.010,2,0.029,,,,,
1,58,0.003,0.3,37,2,2,1,2024-04-22 20:00,1,0.008,2,0.034,,,,,
1,57,0.003,0.3,43,1,2,1,2024-04-22 19:00,1,0.017,2,0.028,,,,,
1,57,0.003,0.3,34,2,2,1,2024-04-22 18:00,1,0.016,2,0.038,,,,,
1,-,0.002,0.3,34,2,,1,2024-04-22 17:00,1,0.004,,0.047,,,,,
1,-,0.002,0.3,28,2,,1,2024-04-22 16:00,1,0.003,,0.046,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,63,0.003,0.3,35,2,2,1,2024-04-22 13:00,1,0.010,2,0.045,,,,,
