so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,pm10Flag,khaiGrade,pm10Grade
1,-,0.001,0.4,42,2,1,2024-04-23 11:00,1,0.007,0.056,,,
1,-,0.001,0.4,-,2,1,2024-04-23 10:00,1,0.009,0.052,통신장애,,
1,-,0.001,0.4,-,2,1,2024-04-23 09:00,1,0.010,0.049,통신장애,,
1,-,0.002,0.5,-,2,1,2024-04-23 08:00,1,0.013,0.043,통신장애,,
1,-,0.001,0.5,-,2,1,2024-04-23 07:00,1,0.012,0.042,통신장애,,
1,-,0.001,0.5,-,2,1,2024-04-23 06:00,1,0.010,0.043,통신장애,,
1,-,0.001,0.5,-,2,1,2024-04-23 05:00,1,0.009,0.047,통신장애,,
1,-,0.001,0.4,-,2,1,2024-04-23 04:00,1,0.009,0.047,통신장애,,
1,-,0.001,0.4,-,2,1,2024-04-23 03:00,1,0.008,0.047,통신장애,,
1,-,0.001,0.4,-,2,1,2024-04-23 02:00,1,0.009,0.046,통신장애,,
1,-,0.001,0.4,-,2,1,2024-04-23 01:00,1,0.010,0.042,통신장애,,
1,60,0.001,0.4,-,2,1,2024-04-22 24:00,1,0.009,0.042,통신장애,2,1
1,53,0.001,0.3,21,2,1,2024-04-22 23:00,1,0.014,0.033,,2,1
1,62,0.001,0.3,23,2,1,2024-04-22 22:00,1,0.008,0.044,,2,1
1,68,0.001,0.3,24,2,1,2024-04-22 21:00,1,0.007,0.051,,2,1
1,69,0.001,0.3,23,2,1,2024-04-22 20:00,1,0.006,0.053,,2,1
1,70,0.001,0.3,31,2,1,2024-04-22 19:00,1,0.008,0.054,,2,1
1,74,0.001,0.4,31,2,1,2024-04-22 18:00,1,0.008,0.059,,2,1
1,77,0.001,0.3,26,2,1,2024-04-22 17:00,1,0.007,0.062,,2,1
1,76,0.001,0.3,27,2,1,2024-04-22 16:00,1,0.006,0.061,,2,1
1,75,0.001,0.3,25,2,1,2024-04-22 15:00,1,0.006,0.060,,2,1
1,74,0.001,0.3,22,2,1,2024-04-22 14:00,1,0.007,0.059,,2,1
1,73,0.001,0.3,29,2,1,2024-04-22 13:00,1,0.007,0.057,,2,1
