so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.4,32,2,2,1,2024-04-23 11:00,1,0.005,1,0.058
1,68,0.001,0.4,30,2,2,1,2024-04-23 10:00,1,0.007,1,0.052
1,60,0.001,0.4,25,2,2,1,2024-04-23 09:00,1,0.010,1,0.042
1,52,0.001,0.4,20,2,2,1,2024-04-23 08:00,1,0.012,1,0.032
1,50,0.001,0.4,19,1,1,1,2024-04-23 07:00,1,0.010,1,0.030
1,53,0.001,0.4,21,2,2,1,2024-04-23 06:00,1,0.006,1,0.034
1,56,0.001,0.4,17,2,2,1,2024-04-23 05:00,1,0.005,1,0.037
1,58,0.001,0.4,20,2,2,1,2024-04-23 04:00,1,0.004,1,0.039
1,58,0.001,0.4,18,2,2,1,2024-04-23 03:00,1,0.004,1,0.039
1,58,0.001,0.4,17,2,2,1,2024-04-23 02:00,1,0.004,1,0.040
1,57,0.001,0.4,17,2,2,1,2024-04-23 01:00,1,0.004,1,0.038
1,58,0.001,0.4,16,2,2,1,2024-04-22 24:00,1,0.004,1,0.039
1,58,0.001,0.4,17,2,2,1,2024-04-22 23:00,1,0.004,1,0.039
1,59,0.001,0.4,25,2,2,1,2024-04-22 22:00,1,0.005,2,0.041
1,62,0.001,0.4,26,2,2,1,2024-04-22 21:00,1,0.009,2,0.044
1,69,0.001,0.4,29,2,2,1,2024-04-22 20:00,1,0.009,2,0.053
1,76,0.001,0.4,30,2,2,1,2024-04-22 19:00,1,0.007,2,0.061
1,78,0.001,0.3,32,2,2,1,2024-04-22 18:00,1,0.005,2,0.064
1,78,0.001,0.3,45,2,2,1,2024-04-22 17:00,1,0.004,2,0.064
1,79,0.001,0.3,44,2,2,1,2024-04-22 16:00,1,0.005,2,0.065
1,80,0.001,0.3,37,2,2,1,2024-04-22 15:00,1,0.004,2,0.066
1,77,0.001,0.3,38,2,2,1,2024-04-22 14:00,1,0.005,2,0.062
