so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,66,0.003,0.2,34,2,2,1,2024-04-23 11:00,1,0.003,2,0.049,,,,,
1,64,0.005,0.3,40,2,2,1,2024-04-23 10:00,1,0.003,1,0.047,,,,,
1,63,0.005,0.3,28,2,2,1,2024-04-23 09:00,1,0.004,1,0.046,,,,,
1,63,0.004,0.3,32,2,2,1,2024-04-23 08:00,1,0.005,1,0.046,,,,,
1,64,0.004,0.3,22,2,2,1,2024-04-23 07:00,1,0.005,1,0.047,,,,,
1,68,0.003,0.3,27,2,2,1,2024-04-23 06:00,1,0.004,1,0.051,,,,,
1,70,0.002,0.3,21,2,2,1,2024-04-23 05:00,1,0.003,1,0.054,,,,,
1,71,0.002,0.3,22,2,2,1,2024-04-23 04:00,1,0.002,1,0.055,,,,,
1,72,0.002,0.2,26,2,2,1,2024-04-23 03:00,1,0.002,1,0.056,,,,,
1,70,0.002,0.3,30,2,2,1,2024-04-23 02:00,1,0.002,2,0.054,,,,,
1,71,0.002,0.3,30,2,2,1,2024-04-23 01:00,1,0.003,2,0.055,,,,,
1,68,0.003,0.3,28,2,2,1,2024-04-22 24:00,1,0.003,2,0.052,,,,,
1,69,0.003,0.3,31,2,2,1,2024-04-22 23:00,1,0.003,2,0.053,,,,,
1,67,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.004,2,0.050,,,,,
1,64,0.003,0.3,33,2,2,1,2024-04-22 21:00,1,0.004,2,0.047,,,,,
1,63,0.004,0.3,34,2,2,1,2024-04-22 20:00,1,0.005,1,0.045,,,,,
1,62,0.005,0.3,36,2,2,1,2024-04-22 19:00,1,0.005,1,0.044,,,,,
1,62,0.004,0.3,34,2,2,1,2024-04-22 18:00,1,0.005,1,0.044,,,,,
1,-,0.004,0.3,32,2,,1,2024-04-22 17:00,1,0.004,,0.043,,,,,
1,-,0.002,0.3,29,2,,1,2024-04-22 16:00,1,0.004,,0.042,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
