coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,75,0.001,0.3,,16,,,,2024-04-23 10:00,0.004,1,0.060,1,2,2,1,1
,72,0.001,0.3,,19,,,,2024-04-23 09:00,0.005,1,0.056,1,2,2,1,1
,68,0.001,0.3,,18,,,,2024-04-23 08:00,0.007,1,0.052,1,2,2,1,1
,67,0.001,0.3,,15,,,,2024-04-23 07:00,0.009,1,0.050,1,2,2,1,1
,70,0.001,0.3,,14,,,,2024-04-23 06:00,0.007,1,0.054,1,2,2,1,1
,-,0.001,0.3,,16,,,,2024-04-23 05:00,0.007,1,0.050,1,2,,1,1
,-,0.001,0.3,,17,,,,2024-04-23 04:00,0.006,1,0.049,1,2,,1,1
,-,0.001,0.3,,13,,,,2024-04-23 03:00,0.005,1,0.047,1,2,,1,1
,63,0.001,0.3,,14,,,,2024-04-23 02:00,0.005,1,0.046,1,2,2,1,1
,65,0.001,0.3,,22,,,,2024-04-23 01:00,0.005,1,0.048,1,2,2,1,1
,66,0.001,0.3,,24,,,,2024-04-22 24:00,0.005,2,0.049,1,2,2,1,1
,65,0.001,0.3,,29,,,,2024-04-22 23:00,0.007,2,0.048,1,2,2,1,1
,67,0.001,0.3,,35,,,,2024-04-22 22:00,0.009,2,0.050,1,2,2,1,1
,54,0.001,0.4,,31,,,,2024-04-22 21:00,0.028,2,0.028,1,1,2,1,1
,63,0.001,0.4,,31,,,,2024-04-22 20:00,0.018,2,0.046,1,2,2,1,1
,78,0.001,0.3,,31,,,,2024-04-22 19:00,0.009,2,0.064,1,2,2,1,1
,83,0.001,0.3,,34,,,,2024-04-22 18:00,0.007,2,0.069,1,2,2,1,1
,86,0.001,0.3,,37,,,,2024-04-22 17:00,0.005,2,0.073,1,2,2,1,1
,86,0.001,0.3,,39,,,,2024-04-22 16:00,0.004,2,0.073,1,2,2,1,1
,84,0.001,0.3,,37,,,,2024-04-22 15:00,0.004,2,0.071,1,2,2,1,1
,83,0.001,0.3,,35,,,,2024-04-22 14:00,0.004,2,0.069,1,2,2,1,1
