so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag,pm10Grade,khaiGrade
1,-,0.003,0.3,30,2,1,2024-04-23 12:00,1,0.013,0.046,,,,,,,
,-,-,-,-,,,2024-04-23 11:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,,
,-,-,-,-,,,2024-04-23 10:00,,-,-,통신장애,통신장애,통신장애,통신장애,통신장애,1,
1,64,0.003,0.3,26,2,1,2024-04-23 09:00,1,0.019,0.047,,,,,,1,2
1,62,0.002,0.4,24,2,1,2024-04-23 08:00,1,0.025,0.044,,,,,,1,2
1,61,0.003,0.3,23,2,1,2024-04-23 07:00,1,0.026,0.043,,,,,,1,2
1,66,0.003,0.3,21,2,1,2024-04-23 06:00,1,0.018,0.049,,,,,,1,2
1,71,0.003,0.3,21,2,1,2024-04-23 05:00,1,0.011,0.055,,,,,,1,2
1,69,0.003,0.3,22,2,1,2024-04-23 04:00,1,0.012,0.053,,,,,,1,2
1,71,0.003,0.3,24,2,1,2024-04-23 03:00,1,0.009,0.055,,,,,,1,2
1,71,0.002,0.3,26,2,1,2024-04-23 02:00,1,0.008,0.055,,,,,,1,2
1,68,0.002,0.3,27,2,1,2024-04-23 01:00,1,0.009,0.052,,,,,,1,2
1,68,0.003,0.3,27,2,1,2024-04-22 24:00,1,0.009,0.051,,,,,,1,2
1,68,0.003,0.3,25,2,1,2024-04-22 23:00,1,0.010,0.051,,,,,,1,2
1,65,0.003,0.3,27,2,1,2024-04-22 22:00,1,0.012,0.048,,,,,,1,2
1,62,0.003,0.3,28,2,1,2024-04-22 21:00,1,0.015,0.044,,,,,,1,2
1,58,0.003,0.3,28,2,1,2024-04-22 20:00,1,0.018,0.039,,,,,,1,2
1,55,0.003,0.3,28,2,1,2024-04-22 19:00,1,0.021,0.036,,,,,,1,2
1,54,0.003,0.3,29,2,1,2024-04-22 18:00,1,0.024,0.035,,,,,,1,2
1,58,0.003,0.3,26,2,1,2024-04-22 17:00,1,0.019,0.039,,,,,,1,2
1,57,0.003,0.3,22,2,1,2024-04-22 16:00,1,0.019,0.038,,,,,,1,2
1,56,0.003,0.3,24,2,1,2024-04-22 15:00,1,0.015,0.037,,,,,,1,2
1,55,0.002,0.3,24,2,1,2024-04-22 14:00,1,0.016,0.036,,,,,,1,2
