so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.002,0.7,27,2,2,1,2024-04-23 11:00,1,0.014,1,0.054
1,65,0.002,0.7,27,2,2,1,2024-04-23 10:00,1,0.016,1,0.048
1,65,0.002,0.7,24,2,2,1,2024-04-23 09:00,1,0.017,2,0.048
1,64,0.002,0.7,23,2,2,1,2024-04-23 08:00,1,0.016,2,0.047
1,63,0.002,0.7,22,2,2,1,2024-04-23 07:00,1,0.017,2,0.046
1,61,0.002,0.7,21,2,2,1,2024-04-23 06:00,1,0.020,2,0.037
1,69,0.002,0.6,22,2,2,1,2024-04-23 05:00,1,0.017,2,0.035
1,74,0.002,0.9,27,1,2,1,2024-04-23 04:00,1,0.025,2,0.023
1,77,0.002,0.8,38,1,2,1,2024-04-23 03:00,1,0.028,2,0.021
1,79,0.002,0.8,59,1,2,2,2024-04-23 02:00,1,0.045,2,0.012
1,74,0.003,0.8,63,2,2,2,2024-04-23 01:00,1,0.038,2,0.032
1,72,0.002,0.8,58,2,2,2,2024-04-22 24:00,1,0.034,2,0.044
1,69,0.002,0.8,56,2,2,2,2024-04-22 23:00,1,0.034,2,0.045
1,69,0.003,0.9,51,2,2,2,2024-04-22 22:00,1,0.034,2,0.051
1,75,0.003,0.9,54,2,2,2,2024-04-22 21:00,1,0.045,2,0.044
1,73,0.003,0.8,48,2,2,2,2024-04-22 20:00,1,0.038,2,0.057
1,78,0.003,0.8,42,2,2,2,2024-04-22 19:00,1,0.036,2,0.064
1,81,0.002,0.7,45,2,2,2,2024-04-22 18:00,1,0.031,2,0.067
1,85,0.002,0.7,29,2,2,1,2024-04-22 17:00,1,0.016,2,0.072
1,87,0.002,0.6,36,2,2,1,2024-04-22 16:00,1,0.014,2,0.074
1,84,0.002,0.6,38,2,2,1,2024-04-22 15:00,1,0.013,2,0.071
1,79,0.002,0.6,33,2,2,1,2024-04-22 14:00,1,0.011,2,0.065
