so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.3,20,2,2,1,2024-04-23 11:00,1,0.006,1,0.061
1,69,0.002,0.4,28,2,2,1,2024-04-23 10:00,1,0.010,1,0.053
1,56,0.002,0.5,34,2,2,1,2024-04-23 09:00,1,0.018,1,0.036
1,50,0.002,0.5,28,1,1,1,2024-04-23 08:00,1,0.018,1,0.013
1,43,0.002,0.4,23,1,1,1,2024-04-23 07:00,1,0.013,1,0.006
1,43,0.002,0.3,26,1,1,1,2024-04-23 06:00,1,0.011,1,0.007
1,43,0.002,0.3,24,1,1,1,2024-04-23 05:00,1,0.008,1,0.009
1,43,0.002,0.3,26,1,1,1,2024-04-23 04:00,1,0.007,1,0.010
1,43,0.002,0.3,22,1,1,1,2024-04-23 03:00,1,0.005,1,0.013
1,43,0.002,0.3,21,1,1,1,2024-04-23 02:00,1,0.007,1,0.011
1,43,0.002,0.4,23,1,1,1,2024-04-23 01:00,1,0.009,1,0.010
1,43,0.002,0.4,27,1,1,1,2024-04-22 24:00,1,0.010,1,0.010
1,43,0.002,0.4,29,1,1,1,2024-04-22 23:00,1,0.010,1,0.012
1,43,0.002,0.4,27,1,1,1,2024-04-22 22:00,1,0.012,1,0.013
1,42,0.002,0.4,27,1,1,1,2024-04-22 21:00,1,0.010,1,0.017
1,40,0.002,0.4,27,1,1,1,2024-04-22 20:00,1,0.010,1,0.021
1,48,0.002,0.3,28,1,1,1,2024-04-22 19:00,1,0.011,1,0.029
1,55,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.011,1,0.036
1,61,0.002,0.3,25,2,2,1,2024-04-22 17:00,1,0.007,1,0.043
1,62,0.002,0.3,28,2,2,1,2024-04-22 16:00,1,0.006,1,0.044
1,63,0.002,0.3,22,2,2,1,2024-04-22 15:00,1,0.006,1,0.045
1,63,0.002,0.3,21,2,2,1,2024-04-22 14:00,1,0.007,1,0.045
