so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.002,0.6,27,2,2,1,2024-04-23 11:00,1,0.003,1,0.053
1,58,0.002,0.7,27,2,2,1,2024-04-23 10:00,1,0.005,1,0.040
1,50,0.002,0.7,21,1,1,1,2024-04-23 09:00,1,0.010,1,0.030
1,47,0.002,0.7,18,1,1,1,2024-04-23 08:00,1,0.008,1,0.020
1,43,0.002,0.7,14,1,1,1,2024-04-23 07:00,1,0.005,1,0.021
1,43,0.002,0.6,22,1,1,1,2024-04-23 06:00,1,0.004,1,0.023
1,43,0.002,0.6,25,1,1,1,2024-04-23 05:00,1,0.003,1,0.026
1,47,0.002,0.6,23,1,1,1,2024-04-23 04:00,1,0.003,1,0.023
1,47,0.002,0.6,22,1,1,1,2024-04-23 03:00,1,0.003,1,0.015
1,50,0.002,0.6,26,1,1,1,2024-04-23 02:00,1,0.004,1,0.015
1,51,0.002,0.7,25,1,2,1,2024-04-23 01:00,1,0.004,1,0.017
1,50,0.002,0.7,28,1,1,1,2024-04-22 24:00,1,0.005,1,0.022
1,47,0.002,0.7,32,1,1,1,2024-04-22 23:00,1,0.006,1,0.017
1,43,0.002,0.7,29,1,1,1,2024-04-22 22:00,1,0.008,1,0.021
1,45,0.002,0.7,28,1,1,1,2024-04-22 21:00,1,0.007,1,0.027
1,55,0.002,0.8,25,2,2,1,2024-04-22 20:00,1,0.006,1,0.036
1,58,0.002,0.7,19,2,2,1,2024-04-22 19:00,1,0.005,1,0.040
1,59,0.002,0.7,18,2,2,1,2024-04-22 18:00,1,0.004,1,0.041
1,60,0.002,0.6,14,2,2,1,2024-04-22 17:00,1,0.003,1,0.042
1,62,0.002,0.6,19,2,2,1,2024-04-22 16:00,1,0.003,1,0.044
1,53,0.002,0.7,12,2,2,1,2024-04-22 15:00,1,0.008,1,0.033
1,45,0.002,0.7,19,1,1,1,2024-04-22 14:00,1,0.013,1,0.027
1,38,0.002,0.7,27,1,1,1,2024-04-22 13:00,1,0.016,1,0.023
