so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,73,0.002,0.2,28,2,2,1,2024-04-23 12:00,1,0.006,1,0.058,,,,
,-,-,-,27,,,,2024-04-23 11:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
1,73,0.002,0.2,22,2,2,1,2024-04-23 10:00,1,0.007,1,0.058,,,,
1,71,0.002,0.3,23,2,2,1,2024-04-23 09:00,1,0.009,1,0.055,,,,
1,68,0.002,0.3,21,2,2,1,2024-04-23 08:00,1,0.011,1,0.052,,,,
1,52,0.002,0.3,23,2,2,1,2024-04-23 07:00,1,0.020,1,0.032,,,,
1,51,0.002,0.3,18,2,2,1,2024-04-23 06:00,1,0.014,1,0.031,,,,
1,54,0.002,0.2,19,2,2,1,2024-04-23 05:00,1,0.010,1,0.035,,,,
1,58,0.002,0.2,19,2,2,1,2024-04-23 04:00,1,0.009,1,0.039,,,,
1,59,0.002,0.2,24,2,2,1,2024-04-23 03:00,1,0.008,1,0.041,,,,
1,58,0.002,0.3,29,2,2,1,2024-04-23 02:00,1,0.009,2,0.040,,,,
1,60,0.002,0.3,31,2,2,1,2024-04-23 01:00,1,0.010,2,0.042,,,,
1,58,0.002,0.3,29,2,2,1,2024-04-22 24:00,1,0.012,2,0.039,,,,
1,54,0.002,0.3,34,2,2,1,2024-04-22 23:00,1,0.018,2,0.033,,,,
1,54,0.002,0.3,30,2,2,1,2024-04-22 22:00,1,0.020,2,0.034,,,,
1,58,0.002,0.3,35,2,2,1,2024-04-22 21:00,1,0.016,2,0.039,,,,
1,64,0.002,0.2,34,2,2,1,2024-04-22 20:00,1,0.009,2,0.047,,,,
1,68,0.002,0.3,37,2,2,1,2024-04-22 19:00,1,0.009,2,0.051,,,,
1,70,0.002,0.2,34,2,2,1,2024-04-22 18:00,1,0.009,2,0.054,,,,
1,70,0.002,0.2,25,2,2,1,2024-04-22 17:00,1,0.007,2,0.054,,,,
1,71,0.002,0.2,28,2,2,1,2024-04-22 16:00,1,0.006,2,0.055,,,,
1,73,0.002,0.2,31,2,2,1,2024-04-22 15:00,1,0.006,2,0.058,,,,
1,74,0.002,0.2,32,2,2,1,2024-04-22 14:00,1,0.005,2,0.059,,,,
