so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,66,0.003,0.3,93,2,2,1,2024-04-23 11:00,1,0.007,2,0.049,,,,,
,-,-,-,-,,,,2024-04-23 10:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,53,0.002,0.3,27,2,2,1,2024-04-23 09:00,1,0.011,1,0.033,,,,,
1,48,0.002,0.3,24,1,1,1,2024-04-23 08:00,1,0.012,1,0.029,,,,,
1,52,0.002,0.2,20,2,2,1,2024-04-23 07:00,1,0.011,1,0.032,,,,,
1,50,0.003,0.2,18,1,1,1,2024-04-23 06:00,1,0.010,1,0.030,,,,,
1,50,0.002,0.2,24,1,1,1,2024-04-23 05:00,1,0.010,1,0.030,,,,,
1,48,0.002,0.2,21,1,1,1,2024-04-23 04:00,1,0.011,1,0.029,,,,,
1,45,0.003,0.2,25,1,1,1,2024-04-23 03:00,1,0.012,1,0.026,,,,,
1,48,0.002,0.3,28,1,1,1,2024-04-23 02:00,1,0.013,1,0.025,,,,,
1,48,0.002,0.3,24,1,1,1,2024-04-23 01:00,1,0.014,1,0.020,,,,,
1,50,0.002,0.3,27,1,1,1,2024-04-22 24:00,1,0.014,1,0.020,,,,,
1,50,0.002,0.3,33,1,1,1,2024-04-22 23:00,1,0.016,1,0.017,,,,,
1,47,0.002,0.3,27,1,1,1,2024-04-22 22:00,1,0.017,1,0.017,,,,,
1,48,0.002,0.3,28,1,1,1,2024-04-22 21:00,1,0.016,1,0.019,,,,,
1,50,0.002,0.3,19,1,1,1,2024-04-22 20:00,1,0.016,1,0.018,,,,,
1,55,0.003,0.3,17,1,2,1,2024-04-22 19:00,1,0.015,2,0.018,,,,,
1,60,0.003,0.3,29,1,2,1,2024-04-22 18:00,1,0.014,2,0.021,,,,,
1,62,0.003,0.3,36,1,2,1,2024-04-22 17:00,1,0.013,2,0.020,,,,,
1,62,0.002,0.3,46,1,2,1,2024-04-22 16:00,1,0.011,2,0.025,,,,,
1,61,0.002,0.3,50,1,2,1,2024-04-22 15:00,1,0.009,2,0.030,,,,,
1,59,0.003,0.3,36,1,2,1,2024-04-22 14:00,1,0.011,2,0.027,,,,,
