so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,30,2,2,1,2024-04-23 11:00,1,0.013,2,0.049
1,63,0.002,0.3,28,2,2,1,2024-04-23 10:00,1,0.015,2,0.046
1,58,0.002,0.4,24,2,2,1,2024-04-23 09:00,1,0.020,2,0.039
1,57,0.002,0.4,30,2,2,1,2024-04-23 08:00,1,0.019,2,0.038
1,56,0.002,0.4,36,1,2,1,2024-04-23 07:00,1,0.030,2,0.024
1,59,0.002,0.3,21,1,2,1,2024-04-23 06:00,1,0.028,2,0.021
1,64,0.002,0.3,22,2,2,1,2024-04-23 05:00,1,0.017,2,0.032
1,69,0.002,0.3,24,2,2,1,2024-04-23 04:00,1,0.014,2,0.032
1,72,0.003,0.4,33,2,2,1,2024-04-23 03:00,1,0.014,2,0.034
1,72,0.003,0.4,60,1,2,1,2024-04-23 02:00,1,0.027,2,0.030
1,69,0.003,0.5,55,1,2,2,2024-04-23 01:00,1,0.038,2,0.029
1,68,0.002,0.4,46,2,2,1,2024-04-22 24:00,1,0.026,2,0.052
1,71,0.003,0.4,47,2,2,1,2024-04-22 23:00,1,0.024,2,0.055
1,63,0.003,0.5,50,2,2,2,2024-04-22 22:00,1,0.036,2,0.045
1,65,0.003,0.5,44,2,2,2,2024-04-22 21:00,1,0.033,2,0.048
1,71,0.003,0.4,46,2,2,2,2024-04-22 20:00,1,0.035,2,0.055
1,81,0.003,0.4,39,2,2,1,2024-04-22 19:00,1,0.025,2,0.067
1,83,0.003,0.4,35,2,2,1,2024-04-22 18:00,1,0.022,2,0.069
1,79,0.002,0.3,29,2,2,1,2024-04-22 17:00,1,0.016,1,0.065
1,81,0.002,0.3,23,2,2,1,2024-04-22 16:00,1,0.011,2,0.067
1,79,0.002,0.3,25,2,2,1,2024-04-22 15:00,1,0.011,2,0.065
1,76,0.002,0.3,33,2,2,1,2024-04-22 14:00,1,0.009,2,0.061
