so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,63,0.003,0.3,48,2,2,1,2024-04-23 12:00,1,0.009,2,0.046,
1,59,0.003,0.3,31,2,2,1,2024-04-23 11:00,1,0.010,2,0.041,
1,54,0.003,0.3,44,2,2,1,2024-04-23 10:00,1,0.011,1,0.033,
1,50,0.003,0.3,38,1,1,1,2024-04-23 09:00,1,0.014,1,0.025,
1,51,0.003,0.3,23,1,2,1,2024-04-23 08:00,1,0.016,1,0.018,
1,51,0.003,0.3,20,1,2,1,2024-04-23 07:00,1,0.016,1,0.013,
1,51,0.003,0.3,24,1,2,1,2024-04-23 06:00,1,0.012,1,0.021,
1,51,0.003,0.3,27,1,2,1,2024-04-23 05:00,1,0.009,1,0.020,
1,51,0.003,0.3,26,1,2,1,2024-04-23 04:00,1,0.009,1,0.021,
1,54,0.003,0.3,29,1,2,1,2024-04-23 03:00,1,0.007,1,0.028,
1,59,0.003,0.3,28,1,2,1,2024-04-23 02:00,1,0.009,2,0.024,
1,59,0.003,0.3,25,1,2,1,2024-04-23 01:00,1,0.008,2,0.030,
1,59,0.003,0.3,28,1,2,1,2024-04-22 24:00,1,0.009,2,0.030,
1,59,0.003,0.4,31,1,2,1,2024-04-22 23:00,1,0.010,2,0.029,
1,56,0.003,0.4,33,1,2,1,2024-04-22 22:00,1,0.012,2,0.029,
1,54,0.003,0.5,35,1,2,1,2024-04-22 21:00,1,0.013,1,0.029,
1,53,0.003,0.5,26,2,2,1,2024-04-22 20:00,1,0.012,1,0.034,
1,56,0.003,0.4,21,2,2,1,2024-04-22 19:00,1,0.011,2,0.037,
1,72,0.003,0.3,21,2,2,1,2024-04-22 18:00,1,0.011,2,0.038,
1,69,0.003,0.3,49,2,2,1,2024-04-22 17:00,1,0.009,2,0.037,
1,66,0.003,0.3,71,1,2,1,2024-04-22 16:00,1,0.019,2,0.028,
1,59,0.003,0.3,-,1,2,1,2024-04-22 15:00,1,0.018,1,0.030,통신장애
1,43,0.003,0.4,21,1,1,1,2024-04-22 14:00,1,0.026,1,0.019,
