so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,71,0.001,0.3,48,2,2,1,2024-04-23 11:00,1,0.007,1,0.055,,,,,
1,69,0.001,0.3,31,2,2,1,2024-04-23 10:00,1,0.010,1,0.053,,,,,
1,57,0.001,0.3,22,2,2,1,2024-04-23 09:00,1,0.016,1,0.038,,,,,
1,52,0.001,0.3,25,2,2,1,2024-04-23 08:00,1,0.018,1,0.032,,,,,
1,53,0.001,0.3,27,2,2,1,2024-04-23 07:00,1,0.013,1,0.034,,,,,
1,59,0.001,0.2,18,2,2,1,2024-04-23 06:00,1,0.008,1,0.041,,,,,
1,59,0.001,0.2,23,2,2,1,2024-04-23 05:00,1,0.008,1,0.041,,,,,
1,61,0.001,0.2,19,2,2,1,2024-04-23 04:00,1,0.008,1,0.043,,,,,
1,58,0.001,0.3,24,2,2,1,2024-04-23 03:00,1,0.009,1,0.040,,,,,
1,63,0.001,0.3,22,2,2,1,2024-04-23 02:00,1,0.008,1,0.045,,,,,
1,62,0.001,0.3,28,2,2,1,2024-04-23 01:00,1,0.009,1,0.044,,,,,
1,65,0.001,0.2,19,2,2,1,2024-04-22 24:00,1,0.007,1,0.048,,,,,
1,68,0.001,0.2,20,2,2,1,2024-04-22 23:00,1,0.006,1,0.051,,,,,
1,67,0.001,0.2,24,2,2,1,2024-04-22 22:00,1,0.006,2,0.050,,,,,
1,67,0.001,0.2,31,2,2,1,2024-04-22 21:00,1,0.006,2,0.050,,,,,
1,65,0.001,0.2,31,2,2,1,2024-04-22 20:00,1,0.007,2,0.048,,,,,
1,-,0.001,0.2,50,2,,1,2024-04-22 19:00,1,0.007,,0.047,,,,,
1,-,0.001,0.2,47,2,,1,2024-04-22 18:00,1,0.008,,0.044,,,,,
,-,-,-,-,,,,2024-04-22 17:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,59,0.002,0.2,-,2,2,1,2024-04-22 16:00,1,0.011,2,0.041,,통신장애,,,
1,59,0.002,0.2,31,2,2,1,2024-04-22 15:00,1,0.009,2,0.041,,,,,
1,59,0.001,0.2,42,2,2,1,2024-04-22 14:00,1,0.010,2,0.041,,,,,
1,56,0.001,0.2,33,2,2,1,2024-04-22 13:00,1,0.014,2,0.037,,,,,
