coFlag,khaiValue,so2Value,coValue,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,37,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,63,0.003,0.3,34,,,,2024-04-23 10:00,0.017,1,0.045,1,2,2,1,1
,63,0.003,0.3,31,,,,2024-04-23 09:00,0.020,1,0.045,1,2,2,1,1
,70,0.002,0.3,24,,,,2024-04-23 08:00,0.010,1,0.054,1,2,2,1,1
,72,0.003,0.3,23,,,,2024-04-23 07:00,0.008,1,0.056,1,2,2,1,1
,73,0.003,0.3,29,,,,2024-04-23 06:00,0.006,1,0.058,1,2,2,1,1
,75,0.002,0.3,22,,,,2024-04-23 05:00,0.005,1,0.060,1,2,2,1,1
,75,0.002,0.3,26,,,,2024-04-23 04:00,0.005,1,0.060,1,2,2,1,1
,75,0.002,0.3,29,,,,2024-04-23 03:00,0.005,1,0.060,1,2,2,1,1
,73,0.002,0.3,32,,,,2024-04-23 02:00,0.005,1,0.057,1,2,2,1,1
,68,0.002,0.3,25,,,,2024-04-23 01:00,0.006,1,0.051,1,2,2,1,1
,68,0.002,0.3,25,,,,2024-04-22 24:00,0.007,1,0.051,1,2,2,1,1
,68,0.002,0.3,28,,,,2024-04-22 23:00,0.008,1,0.051,1,2,2,1,1
,68,-,0.3,30,,,통신장애,2024-04-22 22:00,0.008,1,0.051,,2,2,1,1
,68,-,0.3,22,,,통신장애,2024-04-22 21:00,0.007,1,0.051,,2,2,1,1
,65,-,0.3,29,,,통신장애,2024-04-22 20:00,0.008,1,0.048,,2,2,1,1
,61,0.002,0.3,26,,,,2024-04-22 19:00,0.011,1,0.043,1,2,2,1,1
,58,0.002,0.3,29,,,,2024-04-22 18:00,0.015,1,0.039,1,2,2,1,1
,58,0.002,0.3,24,,,,2024-04-22 17:00,0.015,1,0.040,1,2,2,1,1
,56,0.002,0.3,24,,,,2024-04-22 16:00,0.018,1,0.037,1,2,2,1,1
,54,0.002,0.3,25,,,,2024-04-22 15:00,0.016,1,0.035,1,2,2,1,1
,54,0.002,0.3,27,,,,2024-04-22 14:00,0.016,1,0.035,1,2,2,1,1
,59,-,0.3,23,,,통신장애,2024-04-22 13:00,0.009,1,0.041,,2,2,1,1
