so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.002,0.3,39,2,2,1,2024-04-23 12:00,1,0.008,2,0.046
1,65,0.002,0.3,40,2,2,1,2024-04-23 11:00,1,0.007,2,0.048
1,66,0.002,0.3,40,2,2,1,2024-04-23 10:00,1,0.007,2,0.049
1,66,0.002,0.3,35,2,2,1,2024-04-23 09:00,1,0.007,2,0.049
1,68,0.002,0.3,38,2,2,1,2024-04-23 08:00,1,0.007,2,0.051
1,73,0.002,0.3,35,2,2,1,2024-04-23 07:00,1,0.007,2,0.057
1,78,0.002,0.3,41,2,2,1,2024-04-23 06:00,1,0.006,2,0.064
1,78,0.002,0.3,39,2,2,1,2024-04-23 05:00,1,0.005,2,0.064
1,78,0.002,0.3,42,2,2,1,2024-04-23 04:00,1,0.005,2,0.064
1,77,0.002,0.3,43,2,2,1,2024-04-23 03:00,1,0.005,2,0.062
1,76,0.002,0.3,43,2,2,1,2024-04-23 02:00,1,0.005,2,0.061
1,75,0.002,0.3,42,2,2,1,2024-04-23 01:00,1,0.005,2,0.060
1,76,0.002,0.3,47,2,2,1,2024-04-22 24:00,1,0.005,2,0.061
1,75,0.002,0.3,39,2,2,1,2024-04-22 23:00,1,0.005,2,0.060
1,73,0.002,0.3,42,2,2,1,2024-04-22 22:00,1,0.006,2,0.058
1,71,0.002,0.3,44,2,2,1,2024-04-22 21:00,1,0.007,2,0.055
1,68,0.002,0.3,41,2,2,1,2024-04-22 20:00,1,0.007,2,0.052
1,67,0.002,0.3,39,2,2,1,2024-04-22 19:00,1,0.008,2,0.050
1,67,0.002,0.3,45,2,2,1,2024-04-22 18:00,1,0.008,2,0.050
1,66,0.002,0.3,43,2,2,1,2024-04-22 17:00,1,0.007,2,0.049
1,65,0.002,0.3,46,2,2,1,2024-04-22 16:00,1,0.007,2,0.047
1,65,0.002,0.3,44,2,2,1,2024-04-22 15:00,1,0.007,2,0.048
1,65,0.002,0.3,45,2,2,1,2024-04-22 14:00,1,0.007,2,0.046
