so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.003,0.4,26,2,2,1,2024-04-23 11:00,1,0.012,1,0.052
1,64,0.003,0.6,26,2,2,1,2024-04-23 10:00,1,0.013,1,0.047
1,62,0.003,0.3,24,2,2,1,2024-04-23 09:00,1,0.010,2,0.044
1,58,0.003,0.3,23,2,2,1,2024-04-23 08:00,1,0.012,2,0.039
1,59,0.003,0.3,30,2,2,1,2024-04-23 07:00,1,0.012,2,0.037
1,64,0.003,0.3,26,2,2,1,2024-04-23 06:00,1,0.010,2,0.041
1,69,0.003,0.2,20,2,2,1,2024-04-23 05:00,1,0.007,2,0.051
1,72,0.003,0.2,31,2,2,1,2024-04-23 04:00,1,0.007,2,0.050
1,67,0.003,0.3,48,2,2,1,2024-04-23 03:00,1,0.008,2,0.045
1,67,0.004,0.3,56,2,2,1,2024-04-23 02:00,1,0.011,2,0.050
1,65,0.003,0.4,41,2,2,1,2024-04-23 01:00,1,0.016,2,0.036
1,68,0.003,0.5,37,2,2,1,2024-04-22 24:00,1,0.015,2,0.040
1,71,0.003,0.4,42,2,2,1,2024-04-22 23:00,1,0.010,2,0.055
1,73,0.003,0.3,55,2,2,1,2024-04-22 22:00,1,0.014,2,0.057
1,80,0.003,0.3,62,2,2,1,2024-04-22 21:00,1,0.012,2,0.066
1,78,0.004,0.4,57,2,2,1,2024-04-22 20:00,1,0.016,2,0.063
1,77,0.003,0.4,51,2,2,1,2024-04-22 19:00,1,0.018,2,0.062
1,80,0.003,0.3,50,2,2,1,2024-04-22 18:00,1,0.020,2,0.066
1,89,0.003,0.4,42,2,2,1,2024-04-22 17:00,1,0.014,2,0.077
1,85,0.003,0.3,39,2,2,1,2024-04-22 16:00,1,0.011,2,0.072
1,83,0.002,0.3,37,2,2,1,2024-04-22 15:00,1,0.009,2,0.069
1,79,0.002,0.5,42,2,2,1,2024-04-22 14:00,1,0.009,2,0.065
