so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,73,0.003,0.3,20,2,2,1,2024-04-23 11:00,1,0.007,1,0.058,,,,
1,72,0.003,0.3,15,2,2,1,2024-04-23 10:00,1,0.007,1,0.056,,,,
1,69,0.003,0.3,20,2,2,1,2024-04-23 09:00,1,0.010,1,0.053,,,,
1,68,0.003,0.3,21,2,2,1,2024-04-23 08:00,1,0.010,1,0.051,,,,
1,-,0.003,0.3,10,2,,1,2024-04-23 07:00,1,0.018,1,0.044,,,,
1,60,0.003,0.3,15,2,2,1,2024-04-23 06:00,1,0.017,1,0.042,,,,
1,56,0.003,0.3,17,2,2,1,2024-04-23 05:00,1,0.018,1,0.037,,,,
1,47,0.003,0.3,12,1,1,1,2024-04-23 04:00,1,0.025,1,0.027,,,,
1,51,0.003,0.3,17,2,2,1,2024-04-23 03:00,1,0.025,1,0.031,,,,
1,50,0.003,0.3,17,1,1,1,2024-04-23 02:00,1,0.030,1,0.024,,,,
1,50,0.003,0.3,22,1,1,1,2024-04-23 01:00,1,0.027,1,0.027,,,,
1,58,0.003,0.3,20,2,2,1,2024-04-22 24:00,1,0.013,1,0.040,,,,
1,51,0.003,0.3,25,2,2,1,2024-04-22 23:00,1,0.017,1,0.031,,,,
1,47,0.003,0.3,22,1,1,1,2024-04-22 22:00,1,0.028,1,0.025,,,,
1,61,0.003,0.3,21,1,2,2,2024-04-22 21:00,1,0.037,1,0.016,,,,
1,56,0.003,0.3,28,1,2,2,2024-04-22 20:00,1,0.034,2,0.022,,,,
1,64,0.003,0.3,29,2,2,1,2024-04-22 19:00,1,0.008,2,0.047,,,,
1,65,0.003,0.3,34,2,2,1,2024-04-22 18:00,1,0.009,2,0.048,,,,
1,64,0.003,0.3,31,2,2,1,2024-04-22 17:00,1,0.009,2,0.047,,,,
1,64,0.003,0.3,32,2,2,1,2024-04-22 16:00,1,0.008,2,0.047,,,,
,-,-,-,33,,,,2024-04-22 15:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
,-,-,-,40,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애
1,68,0.003,0.2,31,2,2,1,2024-04-22 13:00,1,0.007,2,0.052,,,,
