so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,60,0.003,0.5,32,2,2,1,2024-04-23 12:00,1,0.010,2,0.042
1,61,0.004,0.9,35,2,2,1,2024-04-23 11:00,1,0.010,2,0.043
1,62,0.003,1.2,38,2,2,1,2024-04-23 10:00,1,0.011,2,0.044
1,58,0.005,0.7,46,2,2,1,2024-04-23 09:00,1,0.016,2,0.040
1,61,0.004,0.6,37,2,2,1,2024-04-23 08:00,1,0.014,2,0.043
1,68,0.004,0.5,31,2,2,1,2024-04-23 07:00,1,0.012,2,0.051
1,76,0.004,0.4,28,2,2,1,2024-04-23 06:00,1,0.010,2,0.061
1,75,0.004,0.5,39,2,2,1,2024-04-23 05:00,1,0.010,2,0.060
1,72,0.003,0.8,41,2,2,1,2024-04-23 04:00,1,0.012,2,0.056
1,72,0.003,0.4,31,2,2,1,2024-04-23 03:00,1,0.009,2,0.056
1,71,0.004,0.4,32,2,2,1,2024-04-23 02:00,1,0.010,2,0.055
1,71,0.003,0.4,36,2,2,1,2024-04-23 01:00,1,0.010,2,0.055
1,70,0.003,0.4,39,2,2,1,2024-04-22 24:00,1,0.010,2,0.054
1,71,0.003,0.5,34,2,2,1,2024-04-22 23:00,1,0.009,2,0.055
1,68,0.006,0.7,37,2,2,1,2024-04-22 22:00,1,0.012,2,0.052
1,68,0.009,1.5,50,2,2,1,2024-04-22 21:00,1,0.019,2,0.040
1,67,0.008,1.5,53,2,2,1,2024-04-22 20:00,1,0.020,2,0.037
1,65,0.008,1.4,47,1,2,1,2024-04-22 19:00,1,0.026,2,0.030
1,64,0.008,1.1,48,2,2,1,2024-04-22 18:00,1,0.024,2,0.032
1,63,0.006,1.1,45,2,2,1,2024-04-22 17:00,1,0.022,2,0.031
1,63,0.005,0.7,40,2,2,1,2024-04-22 16:00,1,0.015,2,0.038
1,63,0.007,0.6,45,2,2,1,2024-04-22 15:00,1,0.016,2,0.038
1,63,0.004,0.6,42,2,2,1,2024-04-22 14:00,1,0.014,2,0.038
