so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,67,0.002,0.2,23,2,2,1,2024-04-23 11:00,1,0.011,1,0.050
1,64,0.002,0.2,24,2,2,1,2024-04-23 10:00,1,0.013,1,0.047
1,61,0.002,0.2,19,2,2,1,2024-04-23 09:00,1,0.017,1,0.043
1,60,0.002,0.2,15,2,2,1,2024-04-23 08:00,1,0.015,1,0.042
1,61,0.002,0.2,18,2,2,1,2024-04-23 07:00,1,0.019,1,0.038
1,64,0.002,0.2,22,1,2,1,2024-04-23 06:00,1,0.024,2,0.027
1,66,0.002,0.2,18,1,2,1,2024-04-23 05:00,1,0.017,2,0.030
1,72,0.002,0.2,22,2,2,1,2024-04-23 04:00,1,0.009,2,0.039
1,74,0.002,0.2,28,2,2,1,2024-04-23 03:00,1,0.013,2,0.034
1,79,0.003,0.3,48,2,2,1,2024-04-23 02:00,1,0.020,2,0.032
1,79,0.003,0.4,49,1,2,2,2024-04-23 01:00,1,0.038,2,0.026
1,77,0.003,0.3,58,2,2,1,2024-04-22 24:00,1,0.027,2,0.046
1,74,0.003,0.4,57,2,2,2,2024-04-22 23:00,1,0.034,2,0.037
1,72,0.003,0.3,46,2,2,2,2024-04-22 22:00,1,0.036,2,0.037
1,66,0.003,0.4,50,2,2,2,2024-04-22 21:00,1,0.039,2,0.039
1,70,0.003,0.3,45,2,2,2,2024-04-22 20:00,1,0.032,2,0.054
1,80,0.003,0.3,38,2,2,1,2024-04-22 19:00,1,0.022,2,0.066
1,74,0.002,0.2,40,2,2,1,2024-04-22 18:00,1,0.012,2,0.059
1,78,0.002,0.2,37,2,2,1,2024-04-22 17:00,1,0.011,2,0.064
1,81,0.002,0.2,34,2,2,1,2024-04-22 16:00,1,0.010,2,0.067
1,78,0.002,0.2,39,2,2,1,2024-04-22 15:00,1,0.010,2,0.064
1,76,0.002,0.2,29,2,2,1,2024-04-22 14:00,1,0.008,2,0.061
