so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,58,0.001,0.3,24,2,2,1,2024-04-23 11:00,1,0.022,1,0.040
1,50,0.001,0.3,28,1,1,1,2024-04-23 10:00,1,0.027,1,0.030
1,54,0.001,0.4,30,1,2,2,2024-04-23 09:00,1,0.033,1,0.023
1,68,0.001,0.4,24,1,2,2,2024-04-23 08:00,1,0.041,1,0.014
1,81,0.001,0.4,26,1,2,2,2024-04-23 07:00,1,0.049,1,0.005
1,71,0.001,0.4,17,1,2,2,2024-04-23 06:00,1,0.043,1,0.004
1,53,0.001,0.3,20,1,2,2,2024-04-23 05:00,1,0.032,1,0.009
1,42,0.001,0.4,20,1,1,1,2024-04-23 04:00,1,0.025,1,0.015
1,59,0.002,0.4,18,1,2,2,2024-04-23 03:00,1,0.036,1,0.012
1,54,0.001,0.3,23,1,2,2,2024-04-23 02:00,1,0.033,1,0.018
1,47,0.001,0.4,18,1,1,1,2024-04-23 01:00,1,0.028,1,0.017
1,54,0.001,0.4,27,1,2,2,2024-04-22 24:00,1,0.033,1,0.018
1,59,0.001,0.4,25,1,2,2,2024-04-22 23:00,1,0.036,2,0.018
1,54,0.001,0.4,34,1,2,2,2024-04-22 22:00,1,0.033,2,0.022
1,71,0.001,0.6,38,1,2,2,2024-04-22 21:00,1,0.043,1,0.009
1,81,0.002,0.8,32,1,2,2,2024-04-22 20:00,1,0.049,1,0.010
1,95,0.001,0.5,21,1,2,2,2024-04-22 19:00,1,0.057,1,0.014
1,70,0.001,0.4,29,1,2,2,2024-04-22 18:00,1,0.042,2,0.029
1,61,0.001,0.3,32,2,2,1,2024-04-22 17:00,1,0.026,2,0.043
1,60,0.001,0.3,30,2,2,1,2024-04-22 16:00,1,0.028,2,0.042
1,59,0.001,0.3,23,2,2,1,2024-04-22 15:00,1,0.028,2,0.041
1,62,0.001,0.3,32,2,2,1,2024-04-22 14:00,1,0.021,2,0.044
