so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,58,0.002,0.3,29,2,2,1,2024-04-23 11:00,1,0.018,1,0.040
1,58,0.002,0.3,30,2,2,1,2024-04-23 10:00,1,0.019,1,0.040
1,59,0.002,0.3,28,2,2,1,2024-04-23 09:00,1,0.021,1,0.041
1,57,0.002,0.3,30,2,2,1,2024-04-23 08:00,1,0.025,1,0.038
1,58,0.002,0.3,26,2,2,1,2024-04-23 07:00,1,0.024,1,0.040
1,61,0.002,0.3,22,2,2,1,2024-04-23 06:00,1,0.020,1,0.043
1,63,0.002,0.3,20,2,2,1,2024-04-23 05:00,1,0.014,1,0.046
1,63,0.002,0.3,20,2,2,1,2024-04-23 04:00,1,0.012,1,0.045
1,65,0.002,0.3,27,2,2,1,2024-04-23 03:00,1,0.009,1,0.048
1,70,0.002,0.3,27,2,2,1,2024-04-23 02:00,1,0.006,1,0.054
1,66,0.002,0.3,26,2,2,1,2024-04-23 01:00,1,0.007,1,0.049
1,60,0.002,0.3,22,2,2,1,2024-04-22 24:00,1,0.011,1,0.042
1,58,0.002,0.3,25,2,2,1,2024-04-22 23:00,1,0.013,1,0.040
1,55,0.002,0.3,23,2,2,1,2024-04-22 22:00,1,0.017,1,0.036
1,55,0.002,0.3,28,2,2,1,2024-04-22 21:00,1,0.017,1,0.036
1,53,0.002,0.3,27,2,2,1,2024-04-22 20:00,1,0.018,1,0.034
1,53,0.002,0.3,31,2,2,1,2024-04-22 19:00,1,0.020,1,0.033
1,50,0.002,0.3,27,1,1,1,2024-04-22 18:00,1,0.024,1,0.030
1,51,0.002,0.3,27,2,2,1,2024-04-22 17:00,1,0.024,1,0.031
1,47,0.002,0.3,28,1,1,1,2024-04-22 16:00,1,0.026,1,0.027
1,47,0.002,0.3,25,1,1,1,2024-04-22 15:00,1,0.028,1,0.023
1,50,0.002,0.3,30,1,1,1,2024-04-22 14:00,1,0.025,1,0.025
