so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,-,0.002,0.2,16,2,1,2024-04-23 11:00,1,0.004,1,0.055
1,-,0.002,0.2,21,2,1,2024-04-23 10:00,1,0.005,1,0.054
1,-,0.002,0.2,23,2,1,2024-04-23 09:00,1,0.005,1,0.052
1,-,0.002,0.2,14,2,1,2024-04-23 08:00,1,0.004,1,0.052
1,-,0.002,0.2,13,2,1,2024-04-23 07:00,1,0.003,1,0.053
1,-,0.002,0.2,18,2,1,2024-04-23 06:00,1,0.004,1,0.051
1,-,0.002,0.2,20,2,1,2024-04-23 05:00,1,0.004,1,0.050
1,-,0.002,0.2,16,2,1,2024-04-23 04:00,1,0.005,1,0.046
1,-,0.002,0.2,27,2,1,2024-04-23 03:00,1,0.005,2,0.046
1,-,0.002,0.2,27,2,1,2024-04-23 02:00,1,0.003,2,0.049
1,-,0.002,0.2,22,2,1,2024-04-23 01:00,1,0.003,2,0.043
1,-,0.002,0.2,42,2,1,2024-04-22 24:00,1,0.004,2,0.043
1,-,0.002,0.2,30,2,1,2024-04-22 23:00,1,0.004,2,0.045
1,-,0.002,0.3,39,2,1,2024-04-22 22:00,1,0.008,2,0.035
1,-,0.002,0.3,41,2,1,2024-04-22 21:00,1,0.012,2,0.034
1,-,0.002,0.3,37,2,1,2024-04-22 20:00,1,0.008,2,0.042
1,-,0.002,0.3,38,2,1,2024-04-22 19:00,1,0.007,2,0.048
1,-,0.002,0.2,42,2,1,2024-04-22 18:00,1,0.008,2,0.049
1,-,0.002,0.2,40,2,1,2024-04-22 17:00,1,0.007,2,0.050
1,-,0.002,0.2,37,2,1,2024-04-22 16:00,1,0.008,2,0.050
1,-,0.002,0.2,35,2,1,2024-04-22 15:00,1,0.007,2,0.051
1,-,0.002,0.2,27,2,1,2024-04-22 14:00,1,0.005,1,0.051
1,-,0.002,0.2,22,2,1,2024-04-22 13:00,1,0.004,2,0.050
