coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,1,-,,,,,
,65,0.001,0.4,,25,,,,2024-04-23 10:00,0.014,1,0.048,1,2,2,1,1
,67,0.001,0.4,,20,,,,2024-04-23 09:00,0.009,2,0.050,1,2,2,1,1
,67,0.001,0.4,,22,,,,2024-04-23 08:00,0.008,2,0.050,1,2,2,1,1
,63,0.001,0.4,,24,,,,2024-04-23 07:00,0.009,2,0.046,1,2,2,1,1
,64,0.001,0.4,,33,,,,2024-04-23 06:00,0.011,2,0.040,1,2,2,1,1
,66,0.001,0.4,,32,,,,2024-04-23 05:00,0.017,2,0.038,1,2,2,1,1
,68,0.002,0.5,,43,,,,2024-04-23 04:00,0.016,2,0.045,1,2,2,1,1
,71,0.002,0.5,,55,,,,2024-04-23 03:00,0.020,2,0.055,1,2,2,1,1
,92,0.001,0.4,,53,,,,2024-04-23 02:00,0.011,2,0.080,1,2,2,1,1
,97,0.001,0.4,,45,,,,2024-04-23 01:00,0.007,2,0.086,1,2,2,1,1
,87,0.001,0.5,,50,,,,2024-04-22 24:00,0.012,2,0.074,1,2,2,1,1
,96,0.001,0.4,,43,,,,2024-04-22 23:00,0.008,2,0.085,1,2,2,1,1
,99,0.001,0.4,,49,,,,2024-04-22 22:00,0.007,2,0.089,1,2,2,1,1
,97,0.001,0.4,,50,,,,2024-04-22 21:00,0.007,2,0.086,1,2,2,1,1
,98,0.002,0.4,,52,,,,2024-04-22 20:00,0.008,2,0.088,1,2,2,1,1
,98,0.001,0.4,,44,,,,2024-04-22 19:00,0.008,2,0.088,1,2,2,1,1
,98,0.002,0.5,,46,,,,2024-04-22 18:00,0.008,2,0.087,1,2,2,1,1
,90,0.002,0.5,,40,,,,2024-04-22 17:00,0.008,2,0.078,1,2,2,1,1
,85,0.001,0.5,,41,,,,2024-04-22 16:00,0.009,2,0.072,1,2,2,1,1
,85,0.001,0.4,,45,,,,2024-04-22 15:00,0.008,2,0.072,1,2,2,1,1
,81,0.001,0.4,,47,,,,2024-04-22 14:00,0.009,2,0.067,1,2,2,1,1
,73,0.001,0.5,,45,,,,2024-04-22 13:00,0.011,2,0.058,1,2,2,1,1
