so2Grade,coFlag,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,no2Value,pm10Grade,o3Value,coGrade,so2Flag
1,통신장애,76,0.003,-,31,2,2,1,2024-04-23 12:00,0.006,1,0.061,,
1,,73,0.003,0.3,28,2,2,1,2024-04-23 11:00,0.006,1,0.058,1,
1,,71,0.003,0.3,28,2,2,1,2024-04-23 10:00,0.007,1,0.055,1,
1,,73,0.003,0.3,27,2,2,1,2024-04-23 09:00,0.006,1,0.058,1,
1,,77,0.003,0.3,24,2,2,1,2024-04-23 08:00,0.006,1,0.062,1,
1,,76,0.003,0.3,23,2,2,1,2024-04-23 07:00,0.006,1,0.061,1,
1,,78,0.003,0.3,22,2,2,1,2024-04-23 06:00,0.004,1,0.064,1,
1,,79,0.003,0.3,30,2,2,1,2024-04-23 05:00,0.003,1,0.065,1,
1,,79,0.003,0.3,27,2,2,1,2024-04-23 04:00,0.002,1,0.065,1,
1,,80,0.003,0.3,26,2,2,1,2024-04-23 03:00,0.002,1,0.066,1,
1,,78,0.003,0.3,28,2,2,1,2024-04-23 02:00,0.003,1,0.064,1,
1,,75,0.003,0.3,28,2,2,1,2024-04-23 01:00,0.003,1,0.060,1,
1,,73,0.003,0.3,29,2,2,1,2024-04-22 24:00,0.004,1,0.058,1,
1,,73,0.003,0.3,25,2,2,1,2024-04-22 23:00,0.005,1,0.057,1,
1,,72,0.003,0.3,23,2,2,1,2024-04-22 22:00,0.005,1,0.056,1,
1,,70,0.003,0.3,32,2,2,1,2024-04-22 21:00,0.005,1,0.054,1,
1,,68,0.003,0.3,27,2,2,1,2024-04-22 20:00,0.006,1,0.051,1,
1,,66,0.003,0.3,32,2,2,1,2024-04-22 19:00,0.007,1,0.049,1,
1,,68,0.003,0.3,35,2,2,1,2024-04-22 18:00,0.007,1,0.051,1,
1,,68,0.003,0.3,26,2,2,1,2024-04-22 17:00,0.006,1,0.052,1,
1,,68,0.003,0.3,24,2,2,1,2024-04-22 16:00,0.005,1,0.052,1,
,,63,-,0.3,26,2,2,1,2024-04-22 15:00,0.006,1,0.045,1,통신장애
,,63,-,0.3,21,2,2,1,2024-04-22 14:00,0.006,1,0.046,1,통신장애
