so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.003,0.3,31,2,1,2024-04-23 11:00,1,0.006,1,0.056,
1,-,0.003,0.3,27,2,1,2024-04-23 10:00,1,0.006,1,0.051,
1,66,0.003,0.3,29,2,1,2024-04-23 09:00,1,0.005,1,0.049,2
1,61,0.003,0.3,29,2,1,2024-04-23 08:00,1,0.007,1,0.043,2
1,61,0.003,0.3,22,2,1,2024-04-23 07:00,1,0.010,1,0.033,2
1,64,0.003,0.3,22,1,1,2024-04-23 06:00,1,0.010,1,0.020,2
1,66,0.003,0.3,21,1,1,2024-04-23 05:00,1,0.010,2,0.017,2
1,69,0.003,0.3,23,1,1,2024-04-23 04:00,1,0.010,2,0.013,2
1,72,0.003,0.3,27,1,1,2024-04-23 03:00,1,0.008,2,0.017,2
1,74,0.003,0.3,41,1,1,2024-04-23 02:00,1,0.010,2,0.016,2
1,74,0.003,0.3,33,1,1,2024-04-23 01:00,1,0.012,2,0.014,2
1,77,0.003,0.3,36,1,1,2024-04-22 24:00,1,0.012,2,0.015,2
1,77,0.003,0.3,44,1,1,2024-04-22 23:00,1,0.014,2,0.014,2
1,77,0.003,0.3,48,1,1,2024-04-22 22:00,1,0.015,2,0.016,2
1,77,0.003,0.3,50,1,1,2024-04-22 21:00,1,0.014,2,0.030,2
1,74,0.003,0.3,51,2,1,2024-04-22 20:00,1,0.011,2,0.043,2
1,74,0.003,0.3,49,2,1,2024-04-22 19:00,1,0.011,2,0.046,2
1,75,0.003,0.3,36,2,1,2024-04-22 18:00,1,0.009,2,0.060,2
1,80,0.003,0.3,34,2,1,2024-04-22 17:00,1,0.006,2,0.066,2
1,79,0.003,0.3,38,2,1,2024-04-22 16:00,1,0.005,2,0.065,2
1,78,0.003,0.3,46,2,1,2024-04-22 15:00,1,0.005,2,0.064,2
1,77,0.003,0.3,44,2,1,2024-04-22 14:00,1,0.006,2,0.062,2
1,77,0.003,0.3,46,2,1,2024-04-22 13:00,1,0.006,2,0.057,2
