so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.002,0.3,23,2,2,1,2024-04-23 11:00,1,0.005,1,0.054
1,67,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.005,1,0.050
1,58,0.002,0.4,27,2,2,1,2024-04-23 09:00,1,0.008,1,0.039
1,54,0.002,0.4,22,1,2,1,2024-04-23 08:00,1,0.013,1,0.024
1,54,0.002,0.4,22,1,2,1,2024-04-23 07:00,1,0.011,1,0.018
1,51,0.002,0.3,14,1,2,1,2024-04-23 06:00,1,0.006,1,0.027
1,51,0.002,0.3,16,1,2,1,2024-04-23 05:00,1,0.006,1,0.022
1,54,0.002,0.3,19,1,2,1,2024-04-23 04:00,1,0.005,1,0.026
1,56,0.002,0.3,19,1,2,1,2024-04-23 03:00,1,0.005,1,0.030
1,56,0.002,0.3,23,2,2,1,2024-04-23 02:00,1,0.005,1,0.031
1,59,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.005,1,0.032
1,66,0.002,0.3,19,2,2,1,2024-04-22 24:00,1,0.006,1,0.037
1,64,0.002,0.3,23,2,2,1,2024-04-22 23:00,1,0.005,2,0.047
1,68,0.002,0.3,33,2,2,1,2024-04-22 22:00,1,0.004,2,0.052
1,68,0.002,0.3,47,2,2,1,2024-04-22 21:00,1,0.005,2,0.052
1,69,0.002,0.4,27,2,2,1,2024-04-22 20:00,1,0.005,2,0.053
1,71,0.002,0.3,32,2,2,1,2024-04-22 19:00,1,0.005,1,0.055
1,72,0.002,0.3,32,2,2,1,2024-04-22 18:00,1,0.005,1,0.056
1,73,0.002,0.3,32,2,2,1,2024-04-22 17:00,1,0.005,1,0.058
1,73,0.002,0.3,21,2,2,1,2024-04-22 16:00,1,0.005,1,0.058
1,73,0.002,0.3,23,2,2,1,2024-04-22 15:00,1,0.005,1,0.057
1,73,0.002,0.3,27,2,2,1,2024-04-22 14:00,1,0.004,2,0.057
1,73,0.002,0.3,34,2,2,1,2024-04-22 13:00,1,0.004,2,0.058
