so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.002,0.3,21,2,2,1,2024-04-23 11:00,1,0.010,1,0.056
1,67,0.002,0.3,20,2,2,1,2024-04-23 10:00,1,0.013,1,0.050
1,63,0.002,0.3,19,2,2,1,2024-04-23 09:00,1,0.017,1,0.046
1,66,0.002,0.3,18,2,2,1,2024-04-23 08:00,1,0.014,1,0.049
1,65,0.002,0.3,21,2,2,1,2024-04-23 07:00,1,0.015,1,0.048
1,61,0.002,0.3,19,2,2,1,2024-04-23 06:00,1,0.016,1,0.043
1,62,0.002,0.3,20,2,2,1,2024-04-23 05:00,1,0.013,1,0.044
1,63,0.002,0.3,19,2,2,1,2024-04-23 04:00,1,0.012,1,0.045
1,63,0.002,0.3,23,2,2,1,2024-04-23 03:00,1,0.012,1,0.045
1,57,0.002,0.3,24,2,2,1,2024-04-23 02:00,1,0.015,1,0.038
1,59,0.002,0.3,27,2,2,1,2024-04-23 01:00,1,0.015,1,0.041
1,59,0.002,0.3,27,2,2,1,2024-04-22 24:00,1,0.017,1,0.041
1,63,0.002,0.3,29,2,2,1,2024-04-22 23:00,1,0.015,1,0.045
1,65,0.002,0.3,28,2,2,1,2024-04-22 22:00,1,0.014,1,0.048
1,65,0.002,0.3,29,2,2,1,2024-04-22 21:00,1,0.018,1,0.048
1,69,0.002,0.3,27,2,2,1,2024-04-22 20:00,1,0.019,1,0.053
1,74,0.002,0.3,29,2,2,1,2024-04-22 19:00,1,0.014,1,0.059
1,79,0.002,0.3,26,2,2,1,2024-04-22 18:00,1,0.010,1,0.065
1,79,0.002,0.2,26,2,2,1,2024-04-22 17:00,1,0.010,1,0.065
1,78,0.002,0.3,27,2,2,1,2024-04-22 16:00,1,0.010,1,0.064
1,78,0.002,0.3,27,2,2,1,2024-04-22 15:00,1,0.011,1,0.063
1,76,0.002,0.3,31,2,2,1,2024-04-22 14:00,1,0.011,2,0.061
