so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,61,0.002,0.3,25,2,2,1,2024-04-23 12:00,1,0.026,1,0.043
1,60,0.002,0.3,27,2,2,1,2024-04-23 11:00,1,0.021,1,0.042
1,53,0.002,0.3,31,2,2,1,2024-04-23 10:00,1,0.030,1,0.034
1,58,0.002,0.4,27,1,2,2,2024-04-23 09:00,1,0.035,1,0.029
1,51,0.003,0.4,24,1,2,2,2024-04-23 08:00,1,0.031,1,0.029
1,59,0.003,0.3,24,1,2,2,2024-04-23 07:00,1,0.036,1,0.030
1,66,0.002,0.3,23,1,2,2,2024-04-23 06:00,1,0.040,1,0.029
1,57,0.002,0.3,22,2,2,1,2024-04-23 05:00,1,0.023,1,0.038
1,57,0.003,0.3,22,2,2,1,2024-04-23 04:00,1,0.023,1,0.038
1,58,0.002,0.3,25,2,2,1,2024-04-23 03:00,1,0.018,1,0.040
1,58,0.002,0.3,23,2,2,1,2024-04-23 02:00,1,0.016,1,0.039
1,56,0.002,0.4,26,2,2,1,2024-04-23 01:00,1,0.020,1,0.037
1,56,0.002,0.3,29,2,2,1,2024-04-22 24:00,1,0.019,2,0.037
1,56,0.003,0.4,32,2,2,1,2024-04-22 23:00,1,0.025,2,0.032
1,59,0.002,0.4,32,2,2,1,2024-04-22 22:00,1,0.021,2,0.036
1,61,0.002,0.4,30,2,2,1,2024-04-22 21:00,1,0.030,2,0.033
1,61,0.003,0.4,31,2,2,2,2024-04-22 20:00,1,0.032,2,0.035
1,61,0.002,0.4,35,2,2,2,2024-04-22 19:00,1,0.036,2,0.036
1,61,0.002,0.4,31,2,2,2,2024-04-22 18:00,1,0.034,2,0.041
1,65,0.002,0.3,31,2,2,1,2024-04-22 17:00,1,0.027,2,0.048
1,65,0.002,0.3,31,2,2,1,2024-04-22 16:00,1,0.026,2,0.048
1,66,0.003,0.3,33,2,2,1,2024-04-22 15:00,1,0.025,2,0.049
1,64,0.002,0.3,33,2,2,1,2024-04-22 14:00,1,0.022,2,0.044
