so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.4,26,2,2,1,2024-04-23 11:00,1,0.011,1,0.051
1,64,0.002,0.4,37,2,2,1,2024-04-23 10:00,1,0.013,1,0.047
1,59,0.002,0.4,25,2,2,1,2024-04-23 09:00,1,0.018,1,0.041
1,58,0.002,0.4,20,2,2,1,2024-04-23 08:00,1,0.019,1,0.040
1,51,0.002,0.4,19,2,2,1,2024-04-23 07:00,1,0.027,2,0.031
1,54,0.002,0.4,23,1,2,1,2024-04-23 06:00,1,0.023,2,0.028
1,59,0.002,0.4,24,2,2,1,2024-04-23 05:00,1,0.015,2,0.034
1,64,0.002,0.4,25,2,2,1,2024-04-23 04:00,1,0.011,2,0.038
1,69,0.003,0.4,32,2,2,1,2024-04-23 03:00,1,0.013,2,0.038
1,72,0.003,0.5,56,2,2,1,2024-04-23 02:00,1,0.022,2,0.038
1,66,0.003,0.5,52,2,2,1,2024-04-23 01:00,1,0.024,2,0.045
1,70,0.003,0.4,54,2,2,1,2024-04-22 24:00,1,0.025,2,0.054
1,61,0.003,0.5,46,2,2,2,2024-04-22 23:00,1,0.034,2,0.041
1,73,0.002,0.5,43,2,2,1,2024-04-22 22:00,1,0.024,2,0.057
1,69,0.003,0.5,46,2,2,2,2024-04-22 21:00,1,0.031,2,0.053
1,76,0.003,0.5,43,2,2,1,2024-04-22 20:00,1,0.029,2,0.061
1,78,0.003,0.4,38,2,2,1,2024-04-22 19:00,1,0.026,2,0.064
1,88,0.002,0.4,34,2,2,1,2024-04-22 18:00,1,0.015,2,0.075
1,87,0.002,0.4,37,2,2,1,2024-04-22 17:00,1,0.012,2,0.074
1,83,0.002,0.4,35,2,2,1,2024-04-22 16:00,1,0.012,2,0.069
1,81,0.002,0.4,28,2,2,1,2024-04-22 15:00,1,0.008,1,0.067
1,75,0.002,0.4,28,2,2,1,2024-04-22 14:00,1,0.008,2,0.060
