so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.003,0.4,42,2,2,1,2024-04-23 12:00,1,0.007,2,0.048
1,61,0.003,0.4,50,2,2,1,2024-04-23 11:00,1,0.008,2,0.043
1,58,0.003,0.4,34,2,2,1,2024-04-23 10:00,1,0.006,1,0.040
1,43,0.003,0.4,27,1,1,1,2024-04-23 09:00,1,0.011,1,0.023
1,43,0.003,0.4,21,1,1,1,2024-04-23 08:00,1,0.015,1,0.015
1,45,0.002,0.4,22,1,1,1,2024-04-23 07:00,1,0.013,1,0.014
1,47,0.002,0.4,20,1,1,1,2024-04-23 06:00,1,0.010,1,0.012
1,48,0.002,0.4,25,1,1,1,2024-04-23 05:00,1,0.008,1,0.009
1,48,0.002,0.4,32,1,1,1,2024-04-23 04:00,1,0.006,1,0.013
1,50,0.002,0.4,27,1,1,1,2024-04-23 03:00,1,0.006,1,0.012
1,50,0.003,0.4,34,1,1,1,2024-04-23 02:00,1,0.007,1,0.014
1,50,0.003,0.4,26,1,1,1,2024-04-23 01:00,1,0.007,1,0.021
1,50,0.003,0.4,34,1,1,1,2024-04-22 24:00,1,0.008,1,0.029
1,48,0.003,0.4,33,1,1,1,2024-04-22 23:00,1,0.009,1,0.024
1,47,0.003,0.5,26,1,1,1,2024-04-22 22:00,1,0.009,1,0.028
1,47,0.003,0.5,37,1,1,1,2024-04-22 21:00,1,0.010,1,0.025
1,45,0.002,0.5,27,1,1,1,2024-04-22 20:00,1,0.012,1,0.027
1,51,0.002,0.4,27,2,2,1,2024-04-22 19:00,1,0.012,1,0.031
1,58,0.003,0.4,20,2,2,1,2024-04-22 18:00,1,0.008,1,0.039
1,58,0.002,0.4,18,2,2,1,2024-04-22 17:00,1,0.006,1,0.040
1,58,0.003,0.4,29,2,2,1,2024-04-22 16:00,1,0.006,1,0.039
1,56,0.003,0.4,32,2,2,1,2024-04-22 15:00,1,0.008,1,0.037
1,43,0.003,0.5,32,1,1,1,2024-04-22 14:00,1,0.016,1,0.025
