so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.003,0.3,31,2,2,1,2024-04-23 11:00,1,0.006,2,0.056
1,69,0.003,0.3,34,2,2,1,2024-04-23 10:00,1,0.007,2,0.052
1,72,0.003,0.3,39,2,2,1,2024-04-23 09:00,1,0.009,2,0.045
1,69,0.003,0.3,29,2,2,1,2024-04-23 08:00,1,0.013,2,0.033
1,66,0.003,0.3,32,2,2,1,2024-04-23 07:00,1,0.012,2,0.032
1,64,0.003,0.3,28,2,2,1,2024-04-23 06:00,1,0.010,2,0.033
1,64,0.003,0.3,30,2,2,1,2024-04-23 05:00,1,0.009,2,0.032
1,64,0.003,0.3,30,2,2,1,2024-04-23 04:00,1,0.009,2,0.033
1,66,0.003,0.3,32,2,2,1,2024-04-23 03:00,1,0.008,2,0.038
1,69,0.003,0.3,33,2,2,1,2024-04-23 02:00,1,0.008,2,0.038
1,66,0.003,0.3,32,2,2,1,2024-04-23 01:00,1,0.006,2,0.041
1,64,0.003,0.3,33,2,2,1,2024-04-22 24:00,1,0.006,2,0.045
1,66,0.003,0.3,42,2,2,1,2024-04-22 23:00,1,0.006,2,0.047
1,67,0.003,0.3,31,2,2,1,2024-04-22 22:00,1,0.007,2,0.050
1,68,0.003,0.3,41,2,2,1,2024-04-22 21:00,1,0.008,2,0.051
1,68,0.003,0.3,37,2,2,1,2024-04-22 20:00,1,0.008,2,0.051
1,69,0.003,0.3,40,2,2,1,2024-04-22 19:00,1,0.009,2,0.052
1,76,0.003,0.3,38,2,2,1,2024-04-22 18:00,1,0.007,2,0.061
1,78,0.003,0.3,40,2,2,1,2024-04-22 17:00,1,0.006,2,0.064
1,80,0.003,0.3,43,2,2,1,2024-04-22 16:00,1,0.006,2,0.066
1,83,0.003,0.3,49,2,2,1,2024-04-22 15:00,1,0.006,2,0.069
1,83,0.003,0.3,43,2,2,1,2024-04-22 14:00,1,0.006,2,0.069
