so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.002,0.5,35,2,2,1,2024-04-23 11:00,1,0.005,1,0.058
1,73,0.002,0.5,28,2,2,1,2024-04-23 10:00,1,0.007,1,0.057
1,70,0.002,0.5,22,2,2,1,2024-04-23 09:00,1,0.010,1,0.054
1,73,0.002,0.5,19,2,2,1,2024-04-23 08:00,1,0.008,1,0.058
1,76,0.002,0.5,22,2,2,1,2024-04-23 07:00,1,0.005,1,0.061
1,76,0.002,0.5,23,2,2,1,2024-04-23 06:00,1,0.003,1,0.061
1,76,0.002,0.5,22,2,2,1,2024-04-23 05:00,1,0.003,1,0.061
1,75,0.002,0.5,17,2,2,1,2024-04-23 04:00,1,0.003,1,0.060
1,74,0.002,0.5,22,2,2,1,2024-04-23 03:00,1,0.003,1,0.059
1,71,0.002,0.5,23,2,2,1,2024-04-23 02:00,1,0.004,1,0.055
1,70,0.002,0.5,20,2,2,1,2024-04-23 01:00,1,0.005,1,0.054
1,69,0.002,0.5,17,2,2,1,2024-04-22 24:00,1,0.006,1,0.053
1,71,0.002,0.5,23,2,2,1,2024-04-22 23:00,1,0.005,1,0.055
1,72,0.002,0.5,23,2,2,1,2024-04-22 22:00,1,0.004,1,0.056
1,72,0.002,0.5,23,2,2,1,2024-04-22 21:00,1,0.004,2,0.056
1,71,0.002,0.5,27,2,2,1,2024-04-22 20:00,1,0.004,2,0.055
1,73,0.002,0.4,29,2,2,1,2024-04-22 19:00,1,0.003,2,0.057
1,70,0.002,0.5,40,2,2,1,2024-04-22 18:00,1,0.004,2,0.054
1,66,0.002,0.5,42,2,2,1,2024-04-22 17:00,1,0.009,2,0.049
1,65,0.002,0.5,36,2,2,1,2024-04-22 16:00,1,0.009,2,0.048
1,63,0.002,0.5,31,2,2,1,2024-04-22 15:00,1,0.009,2,0.045
1,61,0.002,0.5,28,2,2,1,2024-04-22 14:00,1,0.009,2,0.043
1,63,0.002,0.5,35,2,2,1,2024-04-22 13:00,1,0.009,2,0.045
