so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.003,0.3,38,2,2,1,2024-04-23 11:00,1,0.005,2,0.061
1,72,0.003,0.3,39,2,2,1,2024-04-23 10:00,1,0.006,2,0.056
1,60,0.003,0.3,40,2,2,1,2024-04-23 09:00,1,0.010,2,0.042
1,61,0.003,0.4,47,1,2,1,2024-04-23 08:00,1,0.017,2,0.025
1,59,0.003,0.3,34,1,2,1,2024-04-23 07:00,1,0.016,2,0.025
1,59,0.003,0.3,30,1,2,1,2024-04-23 06:00,1,0.011,2,0.018
1,59,0.003,0.3,29,1,2,1,2024-04-23 05:00,1,0.010,2,0.020
1,61,0.003,0.3,27,1,2,1,2024-04-23 04:00,1,0.009,2,0.019
1,64,0.003,0.4,30,1,2,1,2024-04-23 03:00,1,0.010,2,0.013
1,66,0.003,0.4,35,1,2,1,2024-04-23 02:00,1,0.009,2,0.026
1,69,0.003,0.4,39,1,2,1,2024-04-23 01:00,1,0.010,2,0.022
1,69,0.003,0.4,38,1,2,1,2024-04-22 24:00,1,0.012,2,0.020
1,64,0.003,0.4,41,1,2,1,2024-04-22 23:00,1,0.013,2,0.024
1,61,0.003,0.4,39,2,2,1,2024-04-22 22:00,1,0.012,2,0.032
1,61,0.003,0.4,35,2,2,1,2024-04-22 21:00,1,0.009,2,0.040
1,62,0.003,0.4,36,2,2,1,2024-04-22 20:00,1,0.010,2,0.041
1,63,0.003,0.4,36,2,2,1,2024-04-22 19:00,1,0.008,2,0.046
1,63,0.003,0.3,42,2,2,1,2024-04-22 18:00,1,0.010,2,0.041
1,63,0.003,0.3,43,2,2,1,2024-04-22 17:00,1,0.009,2,0.046
1,72,0.003,0.3,40,2,2,1,2024-04-22 16:00,1,0.006,2,0.056
1,71,0.003,0.3,47,2,2,1,2024-04-22 15:00,1,0.007,2,0.055
1,71,0.003,0.3,46,2,2,1,2024-04-22 14:00,1,0.006,2,0.055
