so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.5,46,2,2,1,2024-04-23 12:00,1,0.008,2,0.061
1,74,0.004,0.6,46,2,2,1,2024-04-23 11:00,1,0.011,2,0.059
1,71,0.005,0.6,49,2,2,1,2024-04-23 10:00,1,0.012,2,0.055
1,66,0.005,0.6,52,2,2,1,2024-04-23 09:00,1,0.013,2,0.046
1,64,0.004,0.7,55,1,2,1,2024-04-23 08:00,1,0.026,2,0.022
1,61,0.004,0.6,48,1,2,1,2024-04-23 07:00,1,0.017,2,0.019
1,57,0.002,0.6,38,1,2,1,2024-04-23 06:00,1,0.012,2,0.022
1,56,0.003,0.5,37,1,2,1,2024-04-23 05:00,1,0.010,2,0.029
1,56,0.003,0.5,39,2,2,1,2024-04-23 04:00,1,0.009,2,0.032
1,56,0.003,0.5,39,2,2,1,2024-04-23 03:00,1,0.008,2,0.033
1,57,0.002,0.4,42,2,2,1,2024-04-23 02:00,1,0.007,2,0.036
1,56,0.002,0.4,39,2,2,1,2024-04-23 01:00,1,0.008,2,0.036
1,59,0.001,0.5,43,2,2,1,2024-04-22 24:00,1,0.007,2,0.038
1,56,0.002,0.5,41,2,2,1,2024-04-22 23:00,1,0.009,1,0.036
1,51,0.002,0.5,34,1,2,1,2024-04-22 22:00,1,0.017,1,0.022
1,51,0.002,0.5,27,1,2,1,2024-04-22 21:00,1,0.019,1,0.025
1,51,0.002,0.5,17,1,2,1,2024-04-22 20:00,1,0.018,1,0.030
1,55,0.001,0.5,26,2,2,1,2024-04-22 19:00,1,0.013,1,0.036
1,56,0.002,0.5,19,2,2,1,2024-04-22 18:00,1,0.017,2,0.034
1,59,0.002,0.5,22,2,2,1,2024-04-22 17:00,1,0.016,2,0.033
1,64,0.002,0.5,32,2,2,1,2024-04-22 16:00,1,0.014,2,0.035
1,81,0.002,0.5,43,1,2,2,2024-04-22 15:00,1,0.049,2,0.013
1,61,0.003,0.5,42,1,2,2,2024-04-22 14:00,1,0.036,2,0.015
