khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
67,-,0.3,49,2,2,1,통신장애,2024-04-23 11:00,1,0.003,2,0.050
62,-,0.3,39,2,2,1,통신장애,2024-04-23 10:00,1,0.004,2,0.044
58,-,0.3,32,2,2,1,통신장애,2024-04-23 09:00,1,0.005,2,0.039
51,-,0.4,30,1,2,1,통신장애,2024-04-23 08:00,1,0.011,2,0.013
50,-,0.6,34,1,1,1,통신장애,2024-04-23 07:00,1,0.010,1,0.014
50,-,0.7,37,1,1,1,통신장애,2024-04-23 06:00,1,0.007,1,0.026
52,-,0.5,28,2,2,1,통신장애,2024-04-23 05:00,1,0.005,1,0.032
52,-,0.4,30,2,2,1,통신장애,2024-04-23 04:00,1,0.003,1,0.032
48,-,0.4,36,1,1,1,통신장애,2024-04-23 03:00,1,0.004,1,0.024
43,-,0.4,38,1,1,1,통신장애,2024-04-23 02:00,1,0.004,1,0.024
38,-,0.4,33,1,1,1,통신장애,2024-04-23 01:00,1,0.004,1,0.022
35,-,0.6,26,1,1,1,통신장애,2024-04-22 24:00,1,0.004,1,0.018
33,-,0.6,18,1,1,1,통신장애,2024-04-22 23:00,1,0.005,1,0.020
51,-,0.6,15,2,2,1,통신장애,2024-04-22 22:00,1,0.004,1,0.031
52,-,0.6,23,2,2,1,통신장애,2024-04-22 21:00,1,0.005,1,0.032
52,-,0.6,19,2,2,1,통신장애,2024-04-22 20:00,1,0.004,1,0.032
53,-,0.6,23,2,2,1,통신장애,2024-04-22 19:00,1,0.005,1,0.034
56,-,0.6,22,2,2,1,통신장애,2024-04-22 18:00,1,0.005,1,0.037
55,-,0.5,19,2,2,1,통신장애,2024-04-22 17:00,1,0.004,1,0.036
53,-,0.4,21,2,2,1,통신장애,2024-04-22 16:00,1,0.004,1,0.033
52,-,0.4,24,2,2,1,통신장애,2024-04-22 15:00,1,0.005,1,0.032
54,-,0.4,26,2,2,1,통신장애,2024-04-22 14:00,1,0.004,1,0.035
53,-,0.3,27,2,2,1,통신장애,2024-04-22 13:00,1,0.004,1,0.034
